centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb
34.0750,119.6750,264,1889.32,1880.69
34.0750,119.9250,253,1889.06,1880.08
34.0750,120.1750,194,1888.83,1877.25
34.0750,120.4250,14,1872.28,1846.74
34.0750,120.6750,4,1882.10,1874.89
34.0750,120.9250,14,1867.56,1860.40
34.0750,121.1750,21,1859.09,1851.96
34.0750,121.4250,22,1858.85,1851.73
34.0750,121.6750,27,1854.82,1847.70
34.0750,121.9250,54,1860.41,1853.27
34.0750,122.1750,49,1856.58,1849.46
34.0750,122.4250,73,1862.81,1855.66
33.8250,114.9250,242,1892.79,1885.19
33.8250,115.1750,357,1893.20,1885.44
33.8250,115.4250,348,1893.23,1885.45
33.8250,115.6750,310,1892.38,1886.07
33.8250,115.9250,319,1893.28,1886.53
33.8250,116.1750,331,1895.48,1887.71
33.8250,116.4250,276,1896.58,1888.93
33.8250,116.6750,243,1895.99,1888.39
33.8250,116.9250,292,1895.09,1888.50
33.8250,117.1750,380,1894.26,1886.09
33.8250,117.4250,356,1893.61,1885.15
33.8250,117.6750,369,1893.31,1886.13
33.8250,117.9250,377,1891.81,1884.45
33.8250,118.1750,260,1891.34,1883.86
33.8250,118.4250,274,1889.96,1882.04
33.8250,118.6750,276,1890.46,1882.36
33.8250,118.9250,314,1888.02,1879.04
33.8250,119.1750,273,1888.14,1879.77
33.8250,119.4250,266,1887.41,1877.53
33.8250,119.6750,256,1889.53,1879.48
33.8250,119.9250,238,1889.42,1878.76
33.8250,120.1750,188,1893.90,1883.42
33.8250,120.4250,34,1902.15,1887.68
33.8250,120.6750,1,1864.98,1857.82
33.8250,120.9250,5,1863.04,1855.89
33.8250,121.1750,23,1858.54,1851.42
33.8250,121.4250,23,1860.97,1853.83
33.8250,121.6750,32,1862.93,1855.78
33.8250,121.9250,64,1857.02,1849.89
33.8250,122.1750,58,1859.93,1852.79
33.8250,122.4250,63,1867.59,1860.43
33.5750,114.9250,282,1894.18,1887.71
33.5750,115.1750,319,1894.07,1887.27
33.5750,115.4250,348,1892.79,1885.25
33.5750,115.6750,335,1892.58,1885.61
33.5750,115.9250,341,1895.19,1888.20
33.5750,116.1750,295,1893.69,1886.41
33.5750,116.4250,313,1897.47,1890.65
33.5750,116.6750,304,1899.10,1891.52
33.5750,116.9250,334,1897.72,1891.40
33.5750,117.1750,237,1900.72,1891.25
33.5750,117.4250,394,1894.96,1886.78
33.5750,117.6750,385,1893.52,1886.10
33.5750,117.9250,358,1894.86,1887.93
33.5750,118.1750,317,1891.55,1883.72
33.5750,118.4250,108,1890.57,1879.08
33.5750,118.6750,62,1891.25,1883.13
33.5750,118.9250,170,1890.55,1881.85
33.5750,119.1750,218,1892.20,1883.57
33.5750,119.4250,234,1889.24,1877.81
33.5750,119.6750,217,1892.00,1880.16
33.5750,119.9250,207,1893.24,1882.23
33.5750,120.1750,169,1895.88,1886.48
33.5750,120.4250,74,1897.48,1887.10
33.5750,120.6750,8,1895.53,1877.01
33.5750,120.9250,1,1880.06,1872.85
33.5750,121.1750,11,1850.52,1843.43
33.5750,121.4250,18,1857.69,1850.57
33.5750,121.6750,32,1855.30,1848.19
33.5750,121.9250,56,1855.51,1848.40
33.5750,122.1750,49,1862.64,1855.49
33.5750,122.4250,36,1866.98,1859.82
33.3250,114.9250,306,1892.14,1885.72
33.3250,115.1750,317,1893.72,1887.10
33.3250,115.4250,325,1892.82,1886.44
33.3250,115.6750,339,1891.76,1885.14
33.3250,115.9250,347,1893.90,1888.04
33.3250,116.1750,336,1894.65,1889.17
33.3250,116.4250,372,1896.78,1891.14
33.3250,116.6750,341,1900.04,1893.84
33.3250,116.9250,365,1899.21,1893.54
33.3250,117.1750,357,1899.01,1893.39
33.3250,117.4250,338,1897.81,1891.80
33.3250,117.6750,274,1895.01,1887.43
33.3250,117.9250,150,1896.43,1887.87
33.3250,118.1750,135,1892.63,1882.94
33.3250,118.4250,42,1888.89,1875.88
33.3250,118.6750,0,,
33.3250,118.9250,53,1901.58,1886.76
33.3250,119.1750,78,1893.09,1880.19
33.3250,119.4250,167,1891.14,1877.29
33.3250,119.6750,183,1890.89,1873.51
33.3250,119.9250,182,1893.31,1880.62
33.3250,120.1750,154,1890.34,1881.97
33.3250,120.4250,166,1892.85,1883.37
33.3250,120.6750,21,1905.14,1891.72
33.3250,120.9250,0,,
33.3250,121.1750,0,,
33.3250,121.4250,9,1856.04,1848.92
33.3250,121.6750,28,1858.42,1851.29
33.3250,121.9250,43,1854.59,1847.47
33.3250,122.1750,64,1861.10,1853.96
33.3250,122.4250,43,1860.10,1852.96
33.0750,114.9250,337,1894.81,1888.74
33.0750,115.1750,324,1894.37,1888.53
33.0750,115.4250,352,1893.93,1887.63
33.0750,115.6750,330,1894.66,1888.71
33.0750,115.9250,329,1895.60,1890.52
33.0750,116.1750,320,1896.94,1891.83
33.0750,116.4250,348,1897.06,1891.08
33.0750,116.6750,374,1901.15,1894.57
33.0750,116.9250,198,1895.02,1884.68
33.0750,117.1750,205,1897.62,1889.89
33.0750,117.4250,236,1897.98,1889.50
33.0750,117.6750,139,1901.54,1888.93
33.0750,117.9250,61,1904.62,1893.98
33.0750,118.1750,67,1896.38,1884.75
33.0750,118.4250,57,1891.62,1876.77
33.0750,118.6750,49,1886.21,1876.37
33.0750,118.9250,90,1893.26,1880.00
33.0750,119.1750,64,1891.44,1870.47
33.0750,119.4250,116,1890.12,1875.77
33.0750,119.6750,152,1889.47,1872.51
33.0750,119.9250,139,1892.77,1876.68
33.0750,120.1750,209,1891.72,1877.45
33.0750,120.4250,190,1889.97,1880.01
33.0750,120.6750,99,1890.58,1879.92
33.0750,120.9250,5,1913.12,1886.23
33.0750,121.1750,0,,
33.0750,121.4250,7,1856.39,1849.27
33.0750,121.6750,28,1860.20,1853.07
33.0750,121.9250,42,1858.82,1851.69
33.0750,122.1750,47,1859.17,1852.04
33.0750,122.4250,45,1867.35,1860.18
32.8250,114.9250,285,1893.74,1887.11
32.8250,115.1750,332,1894.06,1886.98
32.8250,115.4250,347,1893.66,1888.20
32.8250,115.6750,321,1895.23,1890.02
32.8250,115.9250,345,1895.54,1889.89
32.8250,116.1750,224,1896.31,1889.33
32.8250,116.4250,177,1902.07,1891.20
32.8250,116.6750,167,1903.05,1889.70
32.8250,116.9250,188,1901.50,1886.89
32.8250,117.1750,145,1901.16,1890.86
32.8250,117.4250,243,1894.26,1886.25
32.8250,117.6750,223,1894.54,1885.50
32.8250,117.9250,142,1893.58,1884.49
32.8250,118.1750,127,1892.03,1882.70
32.8250,118.4250,200,1889.38,1877.47
32.8250,118.6750,189,1887.71,1875.93
32.8250,118.9250,202,1889.27,1877.90
32.8250,119.1750,7,1891.73,1881.93
32.8250,119.4250,31,1887.73,1872.91
32.8250,119.6750,244,1889.23,1875.93
32.8250,119.9250,222,1891.35,1878.96
32.8250,120.1750,198,1892.45,1881.43
32.8250,120.4250,181,1890.49,1881.43
32.8250,120.6750,157,1888.56,1878.11
32.8250,120.9250,19,1897.28,1883.49
32.8250,121.1750,0,,
32.8250,121.4250,2,1860.04,1852.90
32.8250,121.6750,26,1856.06,1848.94
32.8250,121.9250,40,1855.18,1848.06
32.8250,122.1750,49,1857.49,1850.37
32.8250,122.4250,40,1863.06,1855.92
32.5750,114.9250,298,1896.29,1889.47
32.5750,115.1750,345,1892.65,1885.91
32.5750,115.4250,342,1894.73,1888.23
32.5750,115.6750,315,1895.62,1888.43
32.5750,115.9250,226,1898.11,1889.31
32.5750,116.1750,161,1902.36,1892.78
32.5750,116.4250,135,1906.13,1895.72
32.5750,116.6750,105,1907.11,1896.01
32.5750,116.9250,85,1907.46,1898.34
32.5750,117.1750,171,1903.97,1893.94
32.5750,117.4250,227,1895.21,1885.92
32.5750,117.6750,213,1892.40,1882.32
32.5750,117.9250,245,1891.12,1882.55
32.5750,118.1750,283,1888.01,1876.97
32.5750,118.4250,297,1889.33,1878.84
32.5750,118.6750,244,1886.90,1876.01
32.5750,118.9250,219,1890.95,1879.54
32.5750,119.1750,218,1890.55,1880.83
32.5750,119.4250,64,1889.05,1880.15
32.5750,119.6750,247,1889.71,1878.64
32.5750,119.9250,248,1891.48,1880.50
32.5750,120.1750,203,1894.50,1883.53
32.5750,120.4250,147,1894.20,1885.26
32.5750,120.6750,146,1890.34,1880.53
32.5750,120.9250,40,1892.79,1883.17
32.5750,121.1750,2,1915.91,1892.05
32.5750,121.4250,3,1854.01,1846.90
32.5750,121.6750,27,1856.21,1849.10
32.5750,121.9250,39,1858.17,1851.04
32.5750,122.1750,47,1854.41,1847.30
32.5750,122.4250,26,1856.58,1849.46
32.3250,114.9250,305,1896.96,1889.99
32.3250,115.1750,284,1893.59,1884.60
32.3250,115.4250,298,1895.44,1886.36
32.3250,115.6750,296,1895.16,1887.12
32.3250,115.9250,236,1896.63,1887.32
32.3250,116.1750,54,1898.59,1886.89
32.3250,116.4250,40,1901.23,1891.97
32.3250,116.6750,86,1900.23,1889.34
32.3250,116.9250,15,1927.21,1911.68
32.3250,117.1750,221,1900.04,1890.28
32.3250,117.4250,264,1898.82,1888.15
32.3250,117.6750,230,1891.91,1881.37
32.3250,117.9250,268,1890.03,1878.90
32.3250,118.1750,243,1890.19,1879.31
32.3250,118.4250,187,1893.55,1884.47
32.3250,118.6750,259,1895.30,1885.23
32.3250,118.9250,227,1894.02,1883.10
32.3250,119.1750,153,1891.89,1881.71
32.3250,119.4250,133,1889.61,1880.85
32.3250,119.6750,84,1893.26,1883.64
32.3250,119.9250,165,1891.64,1883.15
32.3250,120.1750,233,1892.26,1882.93
32.3250,120.4250,174,1893.77,1884.56
32.3250,120.6750,148,1893.11,1882.70
32.3250,120.9250,131,1894.70,1884.49
32.3250,121.1750,87,1894.80,1886.70
32.3250,121.4250,4,1898.69,1888.66
32.3250,121.6750,11,1856.33,1849.21
32.3250,121.9250,34,1856.21,1849.09
32.3250,122.1750,43,1859.99,1852.86
32.3250,122.4250,26,1852.73,1845.63
32.0750,114.9250,257,1895.01,1886.08
32.0750,115.1750,303,1895.11,1884.97
32.0750,115.4250,322,1893.84,1884.49
32.0750,115.6750,296,1893.15,1884.66
32.0750,115.9250,295,1893.19,1883.61
32.0750,116.1750,258,1892.53,1882.06
32.0750,116.4250,227,1894.08,1884.79
32.0750,116.6750,282,1897.85,1888.67
32.0750,116.9250,306,1898.02,1889.33
32.0750,117.1750,290,1896.59,1887.18
32.0750,117.4250,278,1896.43,1886.29
32.0750,117.6750,318,1896.57,1885.62
32.0750,117.9250,260,1893.77,1881.29
32.0750,118.1750,250,1896.24,1884.87
32.0750,118.4250,241,1895.28,1883.63
32.0750,118.6750,133,1895.94,1885.26
32.0750,118.9250,185,1896.10,1885.93
32.0750,119.1750,218,1897.55,1886.76
32.0750,119.4250,231,1893.04,1883.13
32.0750,119.6750,181,1892.99,1883.42
32.0750,119.9250,77,1890.32,1880.95
32.0750,120.1750,146,1895.22,1884.96
32.0750,120.4250,60,1894.73,1885.59
32.0750,120.6750,37,1894.63,1886.04
32.0750,120.9250,67,1893.01,1885.25
32.0750,121.1750,114,1889.42,1881.35
32.0750,121.4250,65,1885.51,1877.37
32.0750,121.6750,7,1891.27,1884.26
32.0750,121.9250,20,1855.70,1848.58
32.0750,122.1750,34,1851.78,1844.68
32.0750,122.4250,23,1846.53,1839.45
31.8250,114.9250,250,1893.50,1882.82
31.8250,115.1750,282,1890.73,1879.56
31.8250,115.4250,232,1890.66,1879.03
31.8250,115.6750,134,1888.99,1878.35
31.8250,115.9250,226,1891.35,1882.81
31.8250,116.1750,312,1889.90,1879.65
31.8250,116.4250,261,1894.70,1886.22
31.8250,116.6750,273,1896.67,1888.67
31.8250,116.9250,307,1895.09,1885.75
31.8250,117.1750,162,1900.48,1891.23
31.8250,117.4250,132,1899.13,1891.14
31.8250,117.6750,230,1895.91,1886.33
31.8250,117.9250,194,1895.37,1883.48
31.8250,118.1750,224,1894.89,1883.67
31.8250,118.4250,132,1898.04,1888.14
31.8250,118.6750,167,1896.93,1885.99
31.8250,118.9250,173,1893.26,1884.21
31.8250,119.1750,228,1895.80,1884.76
31.8250,119.4250,282,1892.89,1879.71
31.8250,119.6750,186,1894.40,1883.82
31.8250,119.9250,66,1895.17,1887.36
31.8250,120.1750,122,1894.90,1886.25
31.8250,120.4250,121,1893.17,1884.80
31.8250,120.6750,97,1892.81,1884.09
31.8250,120.9250,10,1889.23,1879.78
31.8250,121.1750,16,1889.58,1882.71
31.8250,121.4250,19,1886.74,1877.06
31.8250,121.6750,39,1886.23,1879.27
31.8250,121.9250,6,1859.55,1849.07
31.8250,122.1750,20,1855.05,1847.94
31.8250,122.4250,19,1840.50,1833.45
31.5750,114.9250,87,1888.80,1873.07
31.5750,115.1750,33,1882.10,1867.77
31.5750,115.4250,21,1875.38,1860.35
31.5750,115.6750,54,1876.73,1859.70
31.5750,115.9250,42,1876.32,1857.86
31.5750,116.1750,156,1888.47,1874.93
31.5750,116.4250,267,1891.02,1880.33
31.5750,116.6750,314,1893.96,1883.68
31.5750,116.9250,305,1893.83,1883.74
31.5750,117.1750,142,1896.68,1883.74
31.5750,117.4250,18,1888.37,1870.15
31.5750,117.6750,5,1897.23,1880.09
31.5750,117.9250,126,1893.78,1881.88
31.5750,118.1750,223,1894.61,1884.31
31.5750,118.4250,115,1895.37,1885.02
31.5750,118.6750,202,1893.53,1879.18
31.5750,118.9250,78,1890.87,1880.34
31.5750,119.1750,241,1895.76,1883.51
31.5750,119.4250,134,1896.71,1884.46
31.5750,119.6750,42,1893.37,1880.41
31.5750,119.9250,32,1907.09,1898.93
31.5750,120.1750,50,1895.86,1888.34
31.5750,120.4250,66,1891.40,1883.83
31.5750,120.6750,18,1890.14,1879.81
31.5750,120.9250,71,1888.81,1879.55
31.5750,121.1750,58,1896.15,1887.69
31.5750,121.4250,9,1894.79,1879.59
31.5750,121.6750,1,1865.55,1843.65
31.5750,121.9250,0,,
31.5750,122.1750,1,1856.65,1849.53
31.5750,122.4250,10,1844.63,1837.56
31.3250,114.9250,228,1885.17,1874.66
31.3250,115.1750,74,1887.70,1877.43
31.3250,115.4250,0,,
31.3250,115.6750,1,1914.85,1888.93
31.3250,115.9250,0,,
31.3250,116.1750,27,1888.32,1874.68
31.3250,116.4250,82,1887.00,1873.43
31.3250,116.6750,164,1889.43,1875.75
31.3250,116.9250,203,1890.82,1879.08
31.3250,117.1750,233,1891.29,1880.47
31.3250,117.4250,209,1891.17,1879.15
31.3250,117.6750,220,1894.14,1882.98
31.3250,117.9250,201,1895.39,1883.38
31.3250,118.1750,128,1895.80,1883.46
31.3250,118.4250,159,1897.35,1886.42
31.3250,118.6750,247,1893.40,1874.46
31.3250,118.9250,43,1893.93,1878.54
31.3250,119.1750,208,1890.27,1878.61
31.3250,119.4250,173,1890.45,1878.89
31.3250,119.6750,93,1896.04,1883.54
31.3250,119.9250,15,1893.68,1884.88
31.3250,120.1750,2,1946.60,1939.13
31.3250,120.4250,14,1902.27,1894.98
31.3250,120.6750,24,1898.83,1889.37
31.3250,120.9250,31,1895.53,1888.66
31.3250,121.1750,97,1894.45,1886.56
31.3250,121.4250,49,1897.37,1888.66
31.3250,121.6750,6,1884.51,1870.65
31.3250,121.9250,0,,
31.3250,122.1750,3,1854.10,1846.99
31.3250,122.4250,8,1844.35,1837.27
31.0750,114.9250,170,1891.90,1884.19
31.0750,115.1750,21,1887.84,1876.65
31.0750,115.4250,26,1881.62,1871.25
31.0750,115.6750,0,,
