centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb,impervious_fraction,impervious_coverage,rice_fraction_single,rice_fraction_combined,rice_coverage,province_share_outside,share_anhui,share_jiangsu,share_shanghai,share_zhejiang
34.575,115.925,254,1898.28,1892.15,0.048298,1.0007,,,0.0,1.0,,,,
34.575,116.175,365,1894.27,1888.07,0.05202,1.0007,,,0.0,0.7082,0.2918,,,
34.575,116.425,381,1891.31,1884.05,0.071397,0.9996,0.117034,0.117034,0.2559,0.1129,0.6312,0.2559,,
34.575,116.675,347,1889.59,1882.56,0.140397,1.0007,0.11657,0.11657,0.8816,0.0,0.1184,0.8816,,
34.575,116.925,340,1892.63,1885.26,0.126752,1.0007,0.158047,0.158047,1.0,0.0,,1.0,,
34.575,117.175,81,1892.72,1879.45,0.045694,0.9996,0.196094,0.196094,0.4036,0.5963,,0.4037,,
34.575,117.425,187,1891.95,1885.17,0.143738,1.0007,0.03299,0.03299,0.2791,0.7209,,0.2791,,
34.575,117.675,381,1890.6,1883.41,0.153724,1.0007,0.127345,0.127345,0.28,0.7201,,0.2799,,
34.575,117.925,402,1889.48,1882.78,0.111364,0.9996,0.157795,0.157795,0.8598,0.1402,,0.8598,,
34.575,118.175,367,1884.47,1876.31,0.154439,1.0007,0.03682,0.03682,0.2188,0.7812,,0.2188,,
34.575,118.425,310,1889.7,1883.25,0.164884,1.0007,0.164074,0.164074,0.4684,0.5317,,0.4683,,
34.575,118.675,231,1889.87,1882.48,0.146498,0.9996,0.201552,0.201552,0.9833,0.0168,,0.9832,,
34.575,118.925,297,1884.86,1874.15,0.097712,1.0007,0.391716,0.391716,1.0,0.0,,1.0,,
34.575,119.175,224,1887.93,1878.54,0.278874,1.0007,0.229781,0.229781,1.0,0.0,,1.0,,
34.575,119.425,55,1886.64,1873.79,0.115154,0.9996,0.313947,0.313947,0.9161,0.0839,,0.9161,,
34.575,119.675,2,1871.15,1863.97,0.0426,1.0007,0.070967,0.070967,0.3586,0.6414,,0.3586,,
34.575,119.925,14,1874.87,1867.68,0.001196,0.9996,0.057148,0.057148,0.0391,0.9609,,0.0391,,
34.575,120.175,18,1877.48,1870.28,0.0,1.0007,,,0.0,1.0,,,,
34.575,120.425,32,1871.56,1864.38,0.0,1.0007,,,0.0,1.0,,,,
34.575,120.675,32,1863.88,1856.73,0.0,0.9996,,,0.0,1.0,,,,
34.575,120.925,30,1861.72,1854.58,0.0,1.0007,,,0.0,1.0,,,,
34.575,121.175,16,1860.65,1853.51,0.0,1.0007,,,0.0,1.0,,,,
34.575,121.425,24,1860.78,1853.64,0.0,0.9996,,,0.0,1.0,,,,
34.575,121.675,42,1851.86,1844.76,0.0,1.0007,,,0.0,1.0,,,,
34.575,121.925,49,1851.89,1844.79,0.0,1.0007,,,0.0,1.0,,,,
34.575,122.175,56,1853.69,1846.58,0.0,0.9996,,,0.0,1.0,,,,
34.575,122.425,60,1858.22,1851.09,0.0,1.0007,,,0.0,1.0,,,,
34.325,114.925,304,1899.06,1893.15,0.092515,0.9996,,,0.0,1.0,,,,
34.325,115.175,308,1897.88,1892.14,0.126847,1.0007,,,0.0,1.0,,,,
34.325,115.425,343,1897.72,1892.52,0.099542,1.0007,,,0.0,1.0,,,,
34.325,115.675,295,1899.73,1895.31,0.261884,0.9996,,,0.0,1.0,,,,
34.325,115.925,351,1895.99,1890.48,0.122881,1.0007,,,0.0,1.0,,,,
34.325,116.175,349,1897.25,1891.07,0.148443,1.0007,,,0.0,0.8658,0.1342,,,
34.325,116.425,382,1893.89,1886.65,0.154275,0.9996,,,0.0,0.3643,0.6357,,,
34.325,116.675,400,1892.29,1884.77,0.133811,1.0007,0.166783,0.166783,0.0076,0.027,0.9655,0.0076,,
34.325,116.925,366,1895.14,1887.65,0.171261,1.0007,0.156377,0.156377,0.4281,0.0,0.5719,0.4281,,
34.325,117.175,151,1892.11,1884.09,0.471548,0.9996,0.078129,0.078129,0.9979,0.0021,,0.9979,,
34.325,117.425,249,1891.01,1884.08,0.261579,1.0007,0.156571,0.156571,1.0,0.0,,1.0,,
34.325,117.675,372,1889.74,1883.76,0.176746,1.0007,0.163209,0.163209,1.0,0.0,,1.0,,
34.325,117.925,271,1890.03,1882.63,0.269633,0.9996,0.191476,0.191476,1.0,0.0,,1.0,,
34.325,118.175,241,1890.36,1882.08,0.151097,1.0007,0.174497,0.174497,0.9108,0.0892,,0.9108,,
34.325,118.425,283,1892.21,1886.18,0.187843,1.0007,0.109689,0.109689,0.9633,0.0368,,0.9632,,
34.325,118.675,241,1890.11,1882.49,0.127638,0.9996,0.241861,0.241861,1.0,0.0,,1.0,,
34.325,118.925,326,1884.83,1874.13,0.111128,1.0007,0.44388,0.44388,1.0,0.0,,1.0,,
34.325,119.175,293,1887.33,1877.87,0.174704,1.0007,0.365401,0.365401,1.0,0.0,,1.0,,
34.325,119.425,253,1887.45,1876.82,0.116774,0.9996,0.432483,0.432483,1.0,0.0,,1.0,,
34.325,119.675,126,1892.12,1883.28,0.167328,1.0007,0.323374,0.323374,1.0,0.0,,1.0,,
34.325,119.925,71,1889.34,1877.91,0.075452,0.9996,0.360886,0.360886,0.9679,0.0321,,0.9679,,
34.325,120.175,12,1894.7,1883.07,0.057846,1.0007,0.388105,0.388105,0.5322,0.4678,,0.5322,,
