centre_lat,centre_lon,sounding_count,in_box_prefilter,in_box_retrieved,months_observed,ch4_bias_corrected_ppb,within_cell_sd_ppb,weight_by_count,weight_representativeness
34.5750,120.9250,30,2106,47,3,1861.72,21.146,30,0.00210438
34.5750,121.1750,16,2060,40,2,1860.65,15.846,16,0.00329316
34.5750,121.4250,24,2087,36,3,1860.78,14.027,24,0.00431407
34.5750,121.6750,42,2056,49,5,1851.86,12.580,42,0.00560892
34.5750,121.9250,49,2060,62,5,1851.89,12.441,49,0.00581614
34.5750,122.1750,56,2070,73,5,1853.69,19.428,56,0.00254793
34.5750,122.4250,49,2078,69,4,1857.29,20.944,49,0.00219382
34.3250,114.9250,304,2063,485,8,1899.06,21.107,304,0.00223069
34.3250,115.1750,308,2052,440,8,1897.88,22.182,308,0.00202111
34.3250,115.4250,343,2033,482,8,1897.72,21.423,343,0.00216728
34.3250,115.6750,295,2059,467,8,1899.73,19.173,295,0.00269935
34.3250,115.9250,351,2058,475,8,1895.99,19.225,351,0.00268829
34.3250,116.1750,349,2053,478,8,1897.25,19.661,349,0.00257096
34.3250,116.4250,382,2076,512,8,1893.89,18.857,382,0.00279502
34.3250,116.6750,400,2036,534,8,1892.29,17.895,400,0.00310223
34.3250,116.9250,366,2029,517,8,1895.14,18.003,366,0.00306360
34.3250,117.1750,151,2053,414,8,1892.11,18.702,151,0.00281420
34.3250,117.4250,249,2054,450,8,1891.01,18.310,249,0.00295315
34.3250,117.6750,372,2082,529,8,1889.74,18.893,372,0.00278385
34.3250,117.9250,271,2064,473,8,1890.03,14.895,271,0.00444499
34.3250,118.1750,241,2031,511,8,1890.36,13.300,241,0.00554350
34.3250,118.4250,283,2094,492,8,1892.21,11.918,283,0.00689582
34.3250,118.6750,241,2033,441,8,1890.11,13.411,241,0.00545456
34.3250,118.9250,326,2064,504,8,1884.83,14.772,326,0.00452916
34.3250,119.1750,293,2030,427,8,1887.33,14.690,293,0.00457291
34.3250,119.4250,253,2074,430,8,1887.45,13.339,253,0.00551681
34.3250,119.6750,126,2068,346,8,1892.12,14.524,126,0.00459497
34.3250,119.9250,71,2072,232,7,1889.34,17.068,71,0.00329845
34.3250,120.1750,12,2050,183,5,1894.70,23.993,12,0.00154857
34.3250,120.4250,10,2058,72,7,1875.92,19.898,10,0.00208316
34.3250,120.6750,23,2073,40,2,1860.22,25.978,23,0.00140567
34.3250,120.9250,14,2056,24,2,1862.23,8.609,14,0.00745212
34.3250,121.1750,16,2099,33,1,1859.64,7.785,16,0.00883692
34.3250,121.4250,20,2049,31,2,1860.45,11.500,20,0.00573738
34.3250,121.6750,31,2046,39,3,1852.86,10.714,31,0.00704595
34.3250,121.9250,47,2066,61,5,1853.00,15.603,47,0.00382641
34.3250,122.1750,61,2070,76,5,1854.73,19.885,61,0.00244369
34.3250,122.4250,65,2089,74,5,1857.35,18.215,65,0.00290090
34.0750,114.9250,324,2064,456,8,1894.55,20.901,324,0.00227553
34.0750,115.1750,328,2043,446,8,1894.68,22.227,328,0.00201371
34.0750,115.4250,346,2044,489,8,1896.33,21.526,346,0.00214677
34.0750,115.6750,368,2017,469,8,1896.87,20.639,368,0.00233497
34.0750,115.9250,348,2069,469,8,1894.77,20.695,348,0.00232189
34.0750,116.1750,348,2080,457,8,1895.10,20.430,348,0.00238197
34.0750,116.4250,321,2023,461,8,1899.72,20.569,321,0.00234895
34.0750,116.6750,325,2050,473,8,1896.27,18.544,325,0.00288642
34.0750,116.9250,294,2100,455,8,1896.05,20.259,294,0.00241964
34.0750,117.1750,294,2033,490,7,1893.46,17.510,294,0.00323151
34.0750,117.4250,249,2044,475,8,1895.46,19.315,249,0.00265646
34.0750,117.6750,301,2047,524,8,1893.25,16.917,301,0.00346053
34.0750,117.9250,246,2062,575,8,1892.21,16.444,246,0.00365205
34.0750,118.1750,33,2074,270,7,1891.28,15.989,33,0.00355697
34.0750,118.4250,230,2019,479,8,1889.51,13.410,230,0.00544971
34.0750,118.6750,299,2069,480,8,1891.09,13.834,299,0.00514920
34.0750,118.9250,300,2086,454,8,1887.74,16.041,300,0.00384437
34.0750,119.1750,260,2023,380,8,1885.96,15.599,260,0.00405570
34.0750,119.4250,254,2087,390,8,1886.84,13.989,254,0.00502527
34.0750,119.6750,264,2070,395,8,1889.32,16.694,264,0.00354784
34.0750,119.9250,253,2061,399,8,1889.06,17.965,253,0.00306686
34.0750,120.1750,194,2049,426,9,1888.83,18.146,194,0.00299745
34.0750,120.4250,14,2053,198,5,1872.28,26.570,14,0.00130546
34.0750,120.6750,4,2064,16,1,1882.10,6.504,4,0.00395963
34.0750,120.9250,14,2076,29,3,1867.56,12.306,14,0.00472770
34.0750,121.1750,21,2042,31,1,1859.09,7.347,21,0.01063610
34.0750,121.4250,22,2054,40,1,1858.85,3.770,22,0.01906967
34.0750,121.6750,27,2115,45,3,1854.82,8.865,27,0.00911283
34.0750,121.9250,54,2059,81,5,1860.41,19.086,54,0.00263262
34.0750,122.1750,49,2051,77,5,1856.58,23.868,49,0.00170408
34.0750,122.4250,73,2061,87,5,1862.81,15.896,73,0.00378487
33.8250,114.9250,242,2027,414,8,1892.79,23.579,242,0.00178745
33.8250,115.1750,357,2064,461,8,1893.20,21.217,357,0.00220985
33.8250,115.4250,348,2089,459,8,1893.23,22.335,348,0.00199496
33.8250,115.6750,310,2023,452,8,1892.38,18.987,310,0.00275319
33.8250,115.9250,319,2071,440,8,1893.28,18.639,319,0.00285690
33.8250,116.1750,331,2052,472,8,1895.48,21.418,331,0.00216796
33.8250,116.4250,276,2039,449,8,1896.58,19.377,276,0.00264182
33.8250,116.6750,243,2068,437,8,1895.99,18.020,243,0.00304705
33.8250,116.9250,292,2012,471,8,1895.09,18.193,292,0.00299511
33.8250,117.1750,380,2081,516,8,1894.26,17.162,380,0.00336993
33.8250,117.4250,356,2068,471,8,1893.61,17.995,356,0.00306574
33.8250,117.6750,369,2044,467,8,1893.31,15.688,369,0.00402582
33.8250,117.9250,377,2065,495,8,1891.81,15.874,377,0.00393383
33.8250,118.1750,260,2044,476,8,1891.34,14.695,260,0.00456273
33.8250,118.4250,274,2051,443,8,1889.96,14.794,274,0.00450572
33.8250,118.6750,276,2062,450,8,1890.46,13.863,276,0.00512194
33.8250,118.9250,314,2039,451,8,1888.02,18.777,314,0.00281493
33.8250,119.1750,273,2048,399,8,1888.14,16.137,273,0.00379539
33.8250,119.4250,266,2067,367,8,1887.41,13.962,266,0.00504808
33.8250,119.6750,256,2043,370,8,1889.53,15.908,256,0.00390077
33.8250,119.9250,238,2063,376,8,1889.42,17.314,238,0.00329709
33.8250,120.1750,188,2097,354,8,1893.90,19.309,188,0.00265032
33.8250,120.4250,34,2028,224,6,1902.15,25.260,34,0.00150878
33.8250,120.6750,1,2093,56,1,1864.98,,1,
33.8250,120.9250,5,2065,28,1,1863.04,3.098,5,0.00562442
33.8250,121.1750,23,2060,33,1,1858.54,5.976,23,0.01383504
33.8250,121.4250,23,2086,39,3,1860.97,8.509,23,0.00917738
33.8250,121.6750,32,2020,39,3,1862.93,13.666,32,0.00469400
33.8250,121.9250,64,2094,77,5,1857.02,15.843,64,0.00378588
