centre_lat,centre_lon,impervious_fraction,impervious_coverage
33.825,120.675,8.3e-05,0.9996
33.825,120.925,0.0,1.0007
33.825,121.175,0.0,1.0007
33.825,121.425,0.0,0.9996
33.825,121.675,0.0,1.0007
33.825,121.925,0.0,1.0007
33.825,122.175,0.0,0.9996
33.825,122.425,0.0,1.0007
33.575,114.925,0.175989,0.9996
33.575,115.175,0.184282,1.0007
33.575,115.425,0.153876,1.0007
33.575,115.675,0.142378,0.9996
33.575,115.925,0.125045,1.0007
33.575,116.175,0.18442,1.0007
33.575,116.425,0.139909,0.9996
33.575,116.675,0.167576,1.0007
33.575,116.925,0.23402,1.0007
33.575,117.175,0.139846,0.9996
33.575,117.425,0.085628,1.0007
33.575,117.675,0.116186,1.0007
33.575,117.925,0.13694,0.9996
33.575,118.175,0.127795,1.0007
33.575,118.425,0.049017,1.0007
33.575,118.675,0.134216,0.9996
33.575,118.925,0.283665,1.0007
33.575,119.175,0.351931,1.0007
33.575,119.425,0.051525,0.9996
33.575,119.675,0.072138,1.0007
33.575,119.925,0.05788,0.9996
33.575,120.175,0.035596,1.0007
33.575,120.425,0.0291,1.0007
33.575,120.675,0.003782,0.9996
33.575,120.925,0.0,1.0007
33.575,121.175,0.0,1.0007
33.575,121.425,0.0,0.9996
33.575,121.675,0.0,1.0007
33.575,121.925,0.0,1.0007
33.575,122.175,0.0,0.9996
33.575,122.425,0.0,1.0007
33.325,114.925,0.192403,0.9986
33.325,115.175,0.223975,0.9996
33.325,115.425,0.251302,0.9996
33.325,115.675,0.185086,0.9986
33.325,115.925,0.150813,0.9996
33.325,116.175,0.133581,0.9996
33.325,116.425,0.152035,0.9986
33.325,116.675,0.151501,0.9996
33.325,116.925,0.097746,0.9996
33.325,117.175,0.09277,0.9986
33.325,117.425,0.101727,0.9996
33.325,117.675,0.066237,0.9996
33.325,117.925,0.080483,0.9986
33.325,118.175,0.077563,0.9996
33.325,118.425,0.039863,0.9996
33.325,118.925,0.117059,0.9996
33.325,119.175,0.05136,0.9996
33.325,119.425,0.08275,0.9986
33.325,119.675,0.047445,0.9996
33.325,119.925,0.062209,0.9986
33.325,120.175,0.269593,0.9996
33.325,120.425,0.06952,0.9996
33.325,120.675,0.067926,0.9986
33.325,121.425,0.0,0.9986
33.325,121.675,0.0,0.9996
33.325,121.925,0.0,0.9996
33.325,122.175,0.0,0.9986
33.325,122.425,0.0,0.9996
33.075,114.925,0.137918,0.9996
33.075,115.175,0.231333,1.0007
33.075,115.425,0.199721,1.0007
33.075,115.675,0.232849,0.9996
33.075,115.925,0.195278,1.0007
33.075,116.175,0.183044,1.0007
33.075,116.425,0.141125,0.9996
33.075,116.675,0.099932,1.0007
33.075,116.925,0.080823,1.0007
33.075,117.175,0.144993,0.9996
33.075,117.425,0.126997,1.0007
33.075,117.675,0.066399,1.0007
33.075,117.925,0.092804,0.9996
33.075,118.175,0.06051,1.0007
33.075,118.425,0.090956,1.0007
33.075,118.675,0.067654,0.9996
33.075,118.925,0.070553,1.0007
33.075,119.175,0.015188,1.0007
33.075,119.425,0.022866,0.9996
33.075,119.675,0.043746,1.0007
33.075,119.925,0.073854,0.9996
33.075,120.175,0.07527,1.0007
33.075,120.425,0.070771,1.0007
33.075,120.675,0.034543,0.9996
33.075,120.925,0.020685,1.0007
33.075,121.425,0.0,0.9996
33.075,121.675,0.0,1.0007
33.075,121.925,0.0,1.0007
33.075,122.175,0.0,0.9996
33.075,122.425,0.0,1.0007
32.825,114.925,0.148801,0.9996
32.825,115.175,0.169784,1.0007
32.825,115.425,0.195385,1.0007
32.825,115.675,0.263806,0.9996
32.825,115.925,0.316578,1.0007
32.825,116.175,0.186003,1.0007
32.825,116.425,0.181872,0.9996
32.825,116.675,0.159875,1.0007
32.825,116.925,0.097433,1.0007
32.825,117.175,0.133985,0.9996
32.825,117.425,0.189716,1.0007
32.825,117.675,0.058547,1.0007
32.825,117.925,0.058823,0.9996
32.825,118.175,0.023101,1.0007
32.825,118.425,0.019985,1.0007
32.825,118.675,0.018107,0.9996
32.825,118.925,0.021356,1.0007
