granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180703T034425_20180703T052554_03728_03_020400_20221111T110858.nc,2018-07-03T03:44:25,7.0x7.0 km2,697890,40863,5449,53,12,0.990273,0.773585
S5P_RPRO_L2__CH4____20180703T052554_20180703T070724_03729_03_020400_20221111T110859.nc,2018-07-03T05:25:54,7.0x7.0 km2,697890,11686,856,0,0,1.000000,
S5P_RPRO_L2__CH4____20180704T032522_20180704T050651_03742_03_020400_20221111T110925.nc,2018-07-04T03:25:22,7.0x7.0 km2,697675,38078,2111,0,0,1.000000,
S5P_RPRO_L2__CH4____20180704T050651_20180704T064821_03743_03_020400_20221111T110929.nc,2018-07-04T05:06:51,7.0x7.0 km2,697675,19804,4034,79,13,0.980416,0.835443
S5P_RPRO_L2__CH4____20180705T030619_20180705T044748_03756_03_020400_20221111T120324.nc,2018-07-05T03:06:19,7.0x7.0 km2,697675,20682,154,0,0,1.000000,
S5P_RPRO_L2__CH4____20180705T044748_20180705T062918_03757_03_020400_20221111T120326.nc,2018-07-05T04:47:48,7.0x7.0 km2,697675,33652,8094,120,59,0.985174,0.508333
S5P_RPRO_L2__CH4____20180705T062918_20180705T081048_03758_03_020400_20221111T122447.nc,2018-07-05T06:29:18,7.0x7.0 km2,697675,15778,0,0,0,,
S5P_RPRO_L2__CH4____20180706T024716_20180706T042845_03770_03_020400_20221111T130748.nc,2018-07-06T02:47:16,7.0x7.0 km2,697675,7144,0,0,0,,
S5P_RPRO_L2__CH4____20180706T042845_20180706T061015_03771_03_020400_20221111T131831.nc,2018-07-06T04:28:45,7.0x7.0 km2,697675,47528,11856,51,3,0.995698,0.941176
S5P_RPRO_L2__CH4____20180706T061015_20180706T075145_03772_03_020400_20221111T131833.nc,2018-07-06T06:10:15,7.0x7.0 km2,697675,15121,0,0,0,,
S5P_RPRO_L2__CH4____20180707T040942_20180707T055112_03785_03_020400_20221111T135052.nc,2018-07-07T04:09:42,7.0x7.0 km2,697675,46602,10916,150,32,0.986259,0.786667
S5P_RPRO_L2__CH4____20180707T055112_20180707T073242_03786_03_020400_20221111T135054.nc,2018-07-07T05:51:12,7.0x7.0 km2,697675,19903,0,0,0,,
S5P_RPRO_L2__CH4____20180708T035039_20180708T053209_03799_03_020400_20221111T144443.nc,2018-07-08T03:50:39,7.0x7.0 km2,697675,49356,6714,110,11,0.983616,0.900000
S5P_RPRO_L2__CH4____20180708T053209_20180708T071339_03800_03_020400_20221111T144445.nc,2018-07-08T05:32:09,7.0x7.0 km2,697675,31112,181,0,0,1.000000,
S5P_RPRO_L2__CH4____20180709T033136_20180709T051305_03813_03_020400_20221111T152741.nc,2018-07-09T03:31:36,7.0x7.0 km2,697890,39981,3159,5,0,0.998417,1.000000
S5P_RPRO_L2__CH4____20180709T051305_20180709T065435_03814_03_020400_20221111T152743.nc,2018-07-09T05:13:05,7.0x7.0 km2,697890,44253,2729,13,0,0.995236,1.000000
S5P_RPRO_L2__CH4____20180710T031232_20180710T045402_03827_03_020400_20221111T161042.nc,2018-07-10T03:12:32,7.0x7.0 km2,697675,33491,572,0,0,1.000000,
S5P_RPRO_L2__CH4____20180710T045402_20180710T063532_03828_03_020400_20221111T161044.nc,2018-07-10T04:54:02,7.0x7.0 km2,697675,52367,6649,513,41,0.922846,0.920078
S5P_RPRO_L2__CH4____20180710T063532_20180710T081702_03829_03_020400_20221111T161046.nc,2018-07-10T06:35:32,7.0x7.0 km2,697675,24385,0,0,0,,
S5P_RPRO_L2__CH4____20180711T025329_20180711T043458_03841_03_020400_20221111T164303.nc,2018-07-11T02:53:29,7.0x7.0 km2,697675,11120,0,0,0,,
S5P_RPRO_L2__CH4____20180711T043458_20180711T061628_03842_03_020400_20221111T164305.nc,2018-07-11T04:34:58,7.0x7.0 km2,697675,53038,10917,457,91,0.958139,0.800875
S5P_RPRO_L2__CH4____20180711T061628_20180711T075758_03843_03_020400_20221111T164307.nc,2018-07-11T06:16:28,7.0x7.0 km2,697675,21330,0,0,0,,
S5P_RPRO_L2__CH4____20180712T041555_20180712T055725_03856_03_020400_20221111T173655.nc,2018-07-12T04:15:55,7.0x7.0 km2,697675,59417,11841,778,107,0.934296,0.862468
S5P_RPRO_L2__CH4____20180712T055725_20180712T073854_03857_03_020400_20221111T174734.nc,2018-07-12T05:57:25,7.0x7.0 km2,697675,18702,0,0,0,,
S5P_RPRO_L2__CH4____20180713T035651_20180713T053821_03870_03_020400_20221111T180918.nc,2018-07-13T03:56:51,7.0x7.0 km2,697675,66176,8129,2286,1252,0.718785,0.452318
S5P_RPRO_L2__CH4____20180713T053821_20180713T071951_03871_03_020400_20221111T182003.nc,2018-07-13T05:38:21,7.0x7.0 km2,697675,21879,0,0,0,,
S5P_RPRO_L2__CH4____20180714T033747_20180714T051917_03884_03_020400_20221111T191345.nc,2018-07-14T03:37:47,7.0x7.0 km2,697675,62355,4304,822,322,0.809015,0.608273
S5P_RPRO_L2__CH4____20180714T051917_20180714T070047_03885_03_020400_20221111T191346.nc,2018-07-14T05:19:17,7.0x7.0 km2,697675,30853,1680,29,1,0.982738,0.965517
S5P_RPRO_L2__CH4____20180715T031843_20180715T050013_03898_03_020400_20221111T194623.nc,2018-07-15T03:18:43,7.0x7.0 km2,624790,40558,1261,0,0,1.000000,
S5P_RPRO_L2__CH4____20180715T050013_20180715T064143_03899_03_020400_20221111T195638.nc,2018-07-15T05:00:13,7.0x7.0 km2,624575,43471,5377,426,26,0.920774,0.938967
S5P_RPRO_L2__CH4____20180715T064143_20180715T082313_03900_03_020400_20221111T195640.nc,2018-07-15T06:41:43,7.0x7.0 km2,697675,22798,0,0,0,,
S5P_RPRO_L2__CH4____20180716T025939_20180716T044109_03912_03_020400_20221111T202901.nc,2018-07-16T02:59:39,7.0x7.0 km2,697675,19836,5,0,0,1.000000,
S5P_RPRO_L2__CH4____20180716T044109_20180716T062239_03913_03_020400_20221111T202902.nc,2018-07-16T04:41:09,7.0x7.0 km2,624575,58858,9575,781,256,0.918433,0.672215
S5P_RPRO_L2__CH4____20180716T062239_20180716T080408_03914_03_020400_20221111T202903.nc,2018-07-16T06:22:39,7.0x7.0 km2,697675,19900,0,0,0,,
S5P_RPRO_L2__CH4____20180717T042205_20180717T060334_03927_03_020400_20221111T211210.nc,2018-07-17T04:22:05,7.0x7.0 km2,697675,60013,12182,390,30,0.967986,0.923077
S5P_RPRO_L2__CH4____20180717T060334_20180717T074504_03928_03_020400_20221111T211212.nc,2018-07-17T06:03:34,7.0x7.0 km2,624790,14649,0,0,0,,
S5P_RPRO_L2__CH4____20180718T040301_20180718T054430_03941_03_020400_20221111T220554.nc,2018-07-18T04:03:01,7.0x7.0 km2,697675,68053,9597,2715,1193,0.717099,0.560589
S5P_RPRO_L2__CH4____20180718T054430_20180718T072600_03942_03_020400_20221111T220555.nc,2018-07-18T05:44:30,7.0x7.0 km2,697675,11923,0,0,0,,
S5P_RPRO_L2__CH4____20180719T034356_20180719T052526_03955_03_020400_20221111T224900.nc,2018-07-19T03:43:56,7.0x7.0 km2,697675,45835,5465,743,58,0.864044,0.921938
S5P_RPRO_L2__CH4____20180719T052526_20180719T070656_03956_03_020400_20221111T225939.nc,2018-07-19T05:25:26,7.0x7.0 km2,697675,22500,845,0,0,1.000000,
S5P_RPRO_L2__CH4____20180720T032452_20180720T050622_03969_03_020400_20221111T233207.nc,2018-07-20T03:24:52,7.0x7.0 km2,697675,20638,2123,47,14,0.977862,0.702128
S5P_RPRO_L2__CH4____20180720T050622_20180720T064751_03970_03_020400_20221111T234245.nc,2018-07-20T05:06:22,7.0x7.0 km2,697890,45967,4008,425,27,0.893962,0.936471
S5P_RPRO_L2__CH4____20180721T030547_20180721T044717_03983_03_020400_20221112T001516.nc,2018-07-21T03:05:47,7.0x7.0 km2,697675,23800,157,0,0,1.000000,
S5P_RPRO_L2__CH4____20180721T044717_20180721T062847_03984_03_020400_20221112T001517.nc,2018-07-21T04:47:17,7.0x7.0 km2,697675,56838,8080,1201,415,0.851361,0.654455
S5P_RPRO_L2__CH4____20180721T062847_20180721T081016_03985_03_020400_20221112T002555.nc,2018-07-21T06:28:47,7.0x7.0 km2,697675,18690,0,0,0,,
S5P_RPRO_L2__CH4____20180722T024643_20180722T042812_03997_03_020400_20221112T010857.nc,2018-07-22T02:46:43,7.0x7.0 km2,697675,13884,0,0,0,,
S5P_RPRO_L2__CH4____20180722T042812_20180722T060942_03998_03_020400_20221112T010859.nc,2018-07-22T04:28:12,7.0x7.0 km2,697675,57540,11840,270,8,0.977196,0.970370
S5P_RPRO_L2__CH4____20180722T060942_20180722T075112_03999_03_020400_20221112T010900.nc,2018-07-22T06:09:42,7.0x7.0 km2,697890,17359,0,0,0,,
S5P_RPRO_L2__CH4____20180723T040908_20180723T055037_04012_03_020400_20221112T014122.nc,2018-07-23T04:09:08,7.0x7.0 km2,697675,50018,10923,446,37,0.959169,0.917040
S5P_RPRO_L2__CH4____20180723T055037_20180723T073207_04013_03_020400_20221112T014123.nc,2018-07-23T05:50:37,7.0x7.0 km2,697675,16173,0,0,0,,
S5P_RPRO_L2__CH4____20180724T035003_20180724T053133_04026_03_020400_20221112T091151.nc,2018-07-24T03:50:03,7.0x7.0 km2,697675,50406,6727,643,226,0.904415,0.648523
S5P_RPRO_L2__CH4____20180724T053133_20180724T071302_04027_03_020400_20221112T091153.nc,2018-07-24T05:31:33,7.0x7.0 km2,697675,28033,175,0,0,1.000000,
S5P_RPRO_L2__CH4____20180725T033058_20180725T051228_04040_03_020400_20221112T091214.nc,2018-07-25T03:30:58,7.0x7.0 km2,697675,34596,3174,128,11,0.959672,0.914062
S5P_RPRO_L2__CH4____20180725T051228_20180725T065357_04041_03_020400_20221112T091215.nc,2018-07-25T05:12:28,7.0x7.0 km2,697890,39905,2711,224,84,0.917374,0.625000
S5P_RPRO_L2__CH4____20180726T031153_20180726T045323_04054_03_020400_20221112T091236.nc,2018-07-26T03:11:53,7.0x7.0 km2,697675,26615,579,0,0,1.000000,
S5P_RPRO_L2__CH4____20180726T045323_20180726T063453_04055_03_020400_20221112T092313.nc,2018-07-26T04:53:23,7.0x7.0 km2,697675,28295,6643,441,43,0.933614,0.902494
S5P_RPRO_L2__CH4____20180726T063453_20180726T081622_04056_03_020400_20221112T093346.nc,2018-07-26T06:34:53,7.0x7.0 km2,697890,17157,0,0,0,,
S5P_RPRO_L2__CH4____20180727T025248_20180727T043418_04068_03_020400_20221112T100551.nc,2018-07-27T02:52:48,7.0x7.0 km2,697675,17687,0,0,0,,
S5P_RPRO_L2__CH4____20180727T043418_20180727T061547_04069_03_020400_20221112T100552.nc,2018-07-27T04:34:18,7.0x7.0 km2,697675,36806,10902,543,67,0.950193,0.876611
S5P_RPRO_L2__CH4____20180727T061547_20180727T075717_04070_03_020400_20221112T100554.nc,2018-07-27T06:15:47,7.0x7.0 km2,697675,11715,0,0,0,,
S5P_RPRO_L2__CH4____20180728T041513_20180728T055642_04083_03_020400_20221112T100618.nc,2018-07-28T04:15:13,7.0x7.0 km2,697675,36766,11849,1297,163,0.890539,0.874325
S5P_RPRO_L2__CH4____20180728T055642_20180728T073812_04084_03_020400_20221112T100620.nc,2018-07-28T05:56:42,7.0x7.0 km2,697675,11850,0,0,0,,
S5P_RPRO_L2__CH4____20180729T035608_20180729T053737_04097_03_020400_20221112T100643.nc,2018-07-29T03:56:08,7.0x7.0 km2,697890,39419,8148,847,167,0.896048,0.802834
S5P_RPRO_L2__CH4____20180729T053737_20180729T071907_04098_03_020400_20221112T101759.nc,2018-07-29T05:37:37,7.0x7.0 km2,697890,16800,0,0,0,,
S5P_RPRO_L2__CH4____20180730T033702_20180730T051832_04111_03_020400_20221112T110823.nc,2018-07-30T03:37:02,7.0x7.0 km2,697675,49087,4312,178,8,0.958720,0.955056
S5P_RPRO_L2__CH4____20180730T051832_20180730T070002_04112_03_020400_20221112T110825.nc,2018-07-30T05:18:32,7.0x7.0 km2,697675,20955,1670,156,6,0.906587,0.961538
S5P_RPRO_L2__CH4____20180731T031757_20180731T045927_04125_03_020400_20221112T110845.nc,2018-07-31T03:17:57,7.0x7.0 km2,697890,32624,1271,0,0,1.000000,
S5P_RPRO_L2__CH4____20180731T045927_20180731T064056_04126_03_020400_20221112T110852.nc,2018-07-31T04:59:27,7.0x7.0 km2,697675,25078,5373,950,244,0.823190,0.743158
S5P_RPRO_L2__CH4____20180731T064056_20180731T082226_04127_03_020400_20221112T110854.nc,2018-07-31T06:40:56,7.0x7.0 km2,697675,14749,0,0,0,,
S5P_RPRO_L2__CH4____20180801T025852_20180801T044021_04139_03_020400_20221112T110913.nc,2018-08-01T02:58:52,7.0x7.0 km2,697675,23698,6,0,0,1.000000,
S5P_RPRO_L2__CH4____20180801T044021_20180801T062151_04140_03_020400_20221112T110915.nc,2018-08-01T04:40:21,7.0x7.0 km2,697675,36048,9558,750,40,0.921532,0.946667
S5P_RPRO_L2__CH4____20180801T062151_20180801T080321_04141_03_020400_20221112T111958.nc,2018-08-01T06:21:51,7.0x7.0 km2,697675,8990,0,0,0,,
S5P_RPRO_L2__CH4____20180802T042116_20180802T060245_04154_03_020400_20221112T121530.nc,2018-08-02T04:21:16,7.0x7.0 km2,697890,24099,12176,1125,114,0.907605,0.898667
S5P_RPRO_L2__CH4____20180802T060245_20180802T074415_04155_03_020400_20221112T121531.nc,2018-08-02T06:02:45,7.0x7.0 km2,697890,4072,0,0,0,,
S5P_RPRO_L2__CH4____20180803T040210_20180803T054340_04168_03_020400_20221112T131130.nc,2018-08-03T04:02:10,7.0x7.0 km2,624575,45828,9617,356,96,0.962982,0.730337
S5P_RPRO_L2__CH4____20180803T054340_20180803T072509_04169_03_020400_20221112T131132.nc,2018-08-03T05:43:40,7.0x7.0 km2,624790,10937,0,0,0,,
S5P_RPRO_L2__CH4____20180804T034305_20180804T052434_04182_03_020400_20221112T134502.nc,2018-08-04T03:43:05,7.0x7.0 km2,697675,43573,5483,151,43,0.972460,0.715232
S5P_RPRO_L2__CH4____20180804T052434_20180804T070604_04183_03_020400_20221112T134504.nc,2018-08-04T05:24:34,7.0x7.0 km2,624790,15504,837,2,0,0.997611,1.000000
S5P_RPRO_L2__CH4____20180805T032359_20180805T050528_04196_03_020400_20221112T142954.nc,2018-08-05T03:23:59,7.0x7.0 km2,697675,34841,2134,31,2,0.985473,0.935484
S5P_RPRO_L2__CH4____20180805T050528_20180805T064658_04197_03_020400_20221112T142955.nc,2018-08-05T05:05:28,7.0x7.0 km2,697675,26726,3996,106,0,0.973473,1.000000
S5P_RPRO_L2__CH4____20180806T030453_20180806T044623_04210_03_020400_20221112T150330.nc,2018-08-06T03:04:53,7.0x7.0 km2,697675,28228,161,0,0,1.000000,
S5P_RPRO_L2__CH4____20180806T044623_20180806T062752_04211_03_020400_20221112T150332.nc,2018-08-06T04:46:23,7.0x7.0 km2,697890,39869,8062,930,114,0.884644,0.877419
S5P_RPRO_L2__CH4____20180806T062752_20180806T080922_04212_03_020400_20221112T150333.nc,2018-08-06T06:27:52,7.0x7.0 km2,697675,10191,0,0,0,,
S5P_RPRO_L2__CH4____20180807T024547_20180807T042717_04224_03_020400_20221112T155923.nc,2018-08-07T02:45:47,7.0x7.0 km2,697675,16731,0,0,0,,
S5P_RPRO_L2__CH4____20180807T042717_20180807T060846_04225_03_020400_20221112T155924.nc,2018-08-07T04:27:17,7.0x7.0 km2,697890,50990,11831,1630,225,0.862226,0.861963
S5P_RPRO_L2__CH4____20180807T060846_20180807T075016_04226_03_020400_20221112T161028.nc,2018-08-07T06:08:46,7.0x7.0 km2,697675,9261,0,0,0,,
S5P_RPRO_L2__CH4____20180808T040811_20180808T054940_04239_03_020400_20221112T164343.nc,2018-08-08T04:08:11,7.0x7.0 km2,697675,54847,10937,1731,265,0.841730,0.846909
S5P_RPRO_L2__CH4____20180808T054940_20180808T073110_04240_03_020400_20221112T165445.nc,2018-08-08T05:49:40,7.0x7.0 km2,697675,15665,0,0,0,,
S5P_RPRO_L2__CH4____20180809T034905_20180809T053034_04253_03_020400_20221112T171717.nc,2018-08-09T03:49:05,7.0x7.0 km2,697675,62533,6740,1142,190,0.830564,0.833625
S5P_RPRO_L2__CH4____20180809T053034_20180809T071204_04254_03_020400_20221112T172823.nc,2018-08-09T05:30:34,7.0x7.0 km2,697890,17906,168,0,0,1.000000,
S5P_RPRO_L2__CH4____20180810T032959_20180810T051128_04267_03_020400_20221112T180207.nc,2018-08-10T03:29:59,7.0x7.0 km2,697675,53221,3191,132,11,0.958634,0.916667
S5P_RPRO_L2__CH4____20180810T051128_20180810T065258_04268_03_020400_20221112T180208.nc,2018-08-10T05:11:28,7.0x7.0 km2,697675,28571,2707,205,4,0.924270,0.980488
S5P_RPRO_L2__CH4____20180811T031053_20180811T045222_04281_03_020400_20221112T183551.nc,2018-08-11T03:10:53,7.0x7.0 km2,697890,22361,584,0,0,1.000000,
S5P_RPRO_L2__CH4____20180811T045222_20180811T063352_04282_03_020400_20221112T184655.nc,2018-08-11T04:52:22,7.0x7.0 km2,697890,44342,6619,1125,246,0.830035,0.781333
S5P_RPRO_L2__CH4____20180811T063352_20180811T081521_04283_03_020400_20221112T184656.nc,2018-08-11T06:33:52,7.0x7.0 km2,697675,2917,0,0,0,,
S5P_RPRO_L2__CH4____20180812T061445_20180812T075615_04297_03_020400_20221112T184659.nc,2018-08-12T06:14:45,7.0x7.0 km2,697890,3426,0,0,0,,
S5P_RPRO_L2__CH4____20180813T041410_20180813T055539_04310_03_020400_20221112T193144.nc,2018-08-13T04:14:10,7.0x7.0 km2,697890,65060,11855,67,10,0.994348,0.850746
S5P_RPRO_L2__CH4____20180813T055539_20180813T073709_04311_03_020400_20221112T193146.nc,2018-08-13T05:55:39,7.0x7.0 km2,697675,10575,0,0,0,,
S5P_RPRO_L2__CH4____20180814T035503_20180814T053633_04324_03_020400_20221112T201633.nc,2018-08-14T03:55:03,7.0x7.0 km2,697675,73604,8160,473,69,0.942034,0.854123
S5P_RPRO_L2__CH4____20180814T053633_20180814T071802_04325_03_020400_20221112T201634.nc,2018-08-14T05:36:33,7.0x7.0 km2,697675,13622,0,0,0,,
S5P_RPRO_L2__CH4____20180815T033557_20180815T051726_04338_03_020400_20221112T210130.nc,2018-08-15T03:35:57,7.0x7.0 km2,697675,52390,4328,64,0,0.985213,1.000000
S5P_RPRO_L2__CH4____20180815T051726_20180815T065856_04339_03_020400_20221112T211220.nc,2018-08-15T05:17:26,7.0x7.0 km2,697675,23429,1657,22,0,0.986723,1.000000
S5P_RPRO_L2__CH4____20180816T031650_20180816T045820_04352_03_020400_20221112T213452.nc,2018-08-16T03:16:50,7.0x7.0 km2,697890,36411,1283,0,0,1.000000,
S5P_RPRO_L2__CH4____20180816T045820_20180816T063950_04353_03_020400_20221112T213453.nc,2018-08-16T04:58:20,7.0x7.0 km2,697675,39069,5350,55,0,0.989720,1.000000
S5P_RPRO_L2__CH4____20180816T063950_20180816T082119_04354_03_020400_20221112T213455.nc,2018-08-16T06:39:50,7.0x7.0 km2,697675,14161,0,0,0,,
S5P_RPRO_L2__CH4____20180817T025744_20180817T043913_04366_03_020400_20221112T221931.nc,2018-08-17T02:57:44,7.0x7.0 km2,697675,18049,7,0,0,1.000000,
S5P_RPRO_L2__CH4____20180817T043913_20180817T062043_04367_03_020400_20221112T221933.nc,2018-08-17T04:39:13,7.0x7.0 km2,697675,49136,9540,4,0,0.999581,1.000000
S5P_RPRO_L2__CH4____20180817T062043_20180817T080213_04368_03_020400_20221112T221934.nc,2018-08-17T06:20:43,7.0x7.0 km2,697675,13396,0,0,0,,
S5P_RPRO_L2__CH4____20180818T042007_20180818T060136_04381_03_020400_20221112T225315.nc,2018-08-18T04:20:07,7.0x7.0 km2,697675,56964,12177,35,1,0.997126,0.971429
S5P_RPRO_L2__CH4____20180818T060136_20180818T074306_04382_03_020400_20221112T225316.nc,2018-08-18T06:01:36,7.0x7.0 km2,697675,17252,0,0,0,,
S5P_RPRO_L2__CH4____20180819T040100_20180819T054230_04395_03_020400_20221112T232718.nc,2018-08-19T04:01:00,7.0x7.0 km2,697675,60904,9633,264,69,0.972594,0.738636
S5P_RPRO_L2__CH4____20180819T054230_20180819T072359_04396_03_020400_20221112T233828.nc,2018-08-19T05:42:30,7.0x7.0 km2,697890,17518,0,0,0,,
S5P_RPRO_L2__CH4____20180820T034154_20180820T052323_04409_03_020400_20221113T002322.nc,2018-08-20T03:41:54,7.0x7.0 km2,697890,53824,5499,45,1,0.991817,0.977778
S5P_RPRO_L2__CH4____20180820T052323_20180820T070453_04410_03_020400_20221113T002324.nc,2018-08-20T05:23:23,7.0x7.0 km2,697675,26180,829,0,0,1.000000,
S5P_RPRO_L2__CH4____20180821T032247_20180821T050416_04423_03_020400_20221113T075513.nc,2018-08-21T03:22:47,7.0x7.0 km2,624575,40442,2140,8,0,0.996262,1.000000
S5P_RPRO_L2__CH4____20180821T050416_20180821T064546_04424_03_020400_20221113T075514.nc,2018-08-21T05:04:16,7.0x7.0 km2,697675,37305,3982,89,7,0.977649,0.921348
S5P_RPRO_L2__CH4____20180821T064546_20180821T082715_04425_03_020400_20221113T075516.nc,2018-08-21T06:45:46,7.0x7.0 km2,697890,10983,0,0,0,,
S5P_RPRO_L2__CH4____20180822T030340_20180822T044509_04437_03_020400_20221113T091904.nc,2018-08-22T03:03:40,7.0x7.0 km2,697675,28146,165,0,0,1.000000,
S5P_RPRO_L2__CH4____20180822T044509_20180822T062639_04438_03_020400_20221113T091906.nc,2018-08-22T04:45:09,7.0x7.0 km2,624790,43912,8046,105,1,0.986950,0.990476
S5P_RPRO_L2__CH4____20180822T062639_20180822T080809_04439_03_020400_20221113T091907.nc,2018-08-22T06:26:39,7.0x7.0 km2,624575,12671,0,0,0,,
S5P_RPRO_L2__CH4____20180823T024433_20180823T042603_04451_03_020400_20221113T091927.nc,2018-08-23T02:44:33,7.0x7.0 km2,697675,13308,0,0,0,,
S5P_RPRO_L2__CH4____20180823T042603_20180823T060732_04452_03_020400_20221113T091929.nc,2018-08-23T04:26:03,7.0x7.0 km2,697890,55124,11826,2852,1676,0.758836,0.412342
S5P_RPRO_L2__CH4____20180823T060732_20180823T074902_04453_03_020400_20221113T091931.nc,2018-08-23T06:07:32,7.0x7.0 km2,624575,10034,0,0,0,,
S5P_RPRO_L2__CH4____20180824T040656_20180824T054825_04466_03_020400_20221113T092946.nc,2018-08-24T04:06:56,7.0x7.0 km2,697890,48229,10952,3149,1370,0.712473,0.564941
S5P_RPRO_L2__CH4____20180824T054825_20180824T072955_04467_03_020400_20221113T092947.nc,2018-08-24T05:48:25,7.0x7.0 km2,697675,19497,0,0,0,,
S5P_RPRO_L2__CH4____20180825T034749_20180825T052918_04480_03_020400_20221113T100949.nc,2018-08-25T03:47:49,7.0x7.0 km2,697675,56239,6749,693,226,0.897318,0.673882
S5P_RPRO_L2__CH4____20180825T052918_20180825T071048_04481_03_020400_20221113T100951.nc,2018-08-25T05:29:18,7.0x7.0 km2,697675,26668,162,0,0,1.000000,
S5P_RPRO_L2__CH4____20180826T032842_20180826T051011_04494_03_020400_20221113T101011.nc,2018-08-26T03:28:42,7.0x7.0 km2,697890,44951,3195,24,4,0.992488,0.833333
S5P_RPRO_L2__CH4____20180826T051011_20180826T065141_04495_03_020400_20221113T101013.nc,2018-08-26T05:10:11,7.0x7.0 km2,697675,34956,2686,137,32,0.948995,0.766423
S5P_RPRO_L2__CH4____20180827T030935_20180827T045104_04508_03_020400_20221113T104156.nc,2018-08-27T03:09:35,7.0x7.0 km2,697890,39194,588,0,0,1.000000,
S5P_RPRO_L2__CH4____20180827T045104_20180827T063233_04509_03_020400_20221113T105235.nc,2018-08-27T04:51:04,7.0x7.0 km2,697675,53189,6615,499,302,0.924565,0.394790
S5P_RPRO_L2__CH4____20180827T063233_20180827T081403_04510_03_020400_20221113T105236.nc,2018-08-27T06:32:33,7.0x7.0 km2,697675,11657,0,0,0,,
S5P_RPRO_L2__CH4____20180828T025027_20180828T043157_04522_03_020400_20221113T111425.nc,2018-08-28T02:50:27,7.0x7.0 km2,697675,15697,0,0,0,,
S5P_RPRO_L2__CH4____20180828T043157_20180828T061326_04523_03_020400_20221113T111427.nc,2018-08-28T04:31:57,7.0x7.0 km2,697675,58855,10879,397,19,0.963508,0.952141
S5P_RPRO_L2__CH4____20180828T061326_20180828T075456_04524_03_020400_20221113T111428.nc,2018-08-28T06:13:26,7.0x7.0 km2,697675,12562,0,0,0,,
S5P_RPRO_L2__CH4____20180829T041250_20180829T055419_04537_03_020400_20221113T111453.nc,2018-08-29T04:12:50,7.0x7.0 km2,697675,40986,11865,835,77,0.929625,0.907784
S5P_RPRO_L2__CH4____20180829T055419_20180829T073549_04538_03_020400_20221113T111454.nc,2018-08-29T05:54:19,7.0x7.0 km2,697675,5170,0,0,0,,
S5P_RPRO_L2__CH4____20180830T035342_20180830T053512_04551_03_020400_20221113T113726.nc,2018-08-30T03:53:42,7.0x7.0 km2,697675,32881,8175,872,324,0.893333,0.628440
S5P_RPRO_L2__CH4____20180830T053512_20180830T071641_04552_03_020400_20221113T114840.nc,2018-08-30T05:35:12,7.0x7.0 km2,697675,7283,0,0,0,,
S5P_RPRO_L2__CH4____20180831T033435_20180831T051605_04565_03_020400_20221113T123323.nc,2018-08-31T03:34:35,7.0x7.0 km2,697675,25133,4335,69,4,0.984083,0.942029
S5P_RPRO_L2__CH4____20180831T051605_20180831T065734_04566_03_020400_20221113T123325.nc,2018-08-31T05:16:05,7.0x7.0 km2,697675,13875,1654,0,0,1.000000,
S5P_RPRO_L2__CH4____20180901T031528_20180901T045657_04579_03_020400_20221113T132910.nc,2018-09-01T03:15:28,7.0x7.0 km2,697675,25690,1287,0,0,1.000000,
S5P_RPRO_L2__CH4____20180901T045657_20180901T063827_04580_03_020400_20221113T132911.nc,2018-09-01T04:56:57,7.0x7.0 km2,697675,32616,5346,233,36,0.956416,0.845494
S5P_RPRO_L2__CH4____20180901T063827_20180901T081956_04581_03_020400_20221113T134001.nc,2018-09-01T06:38:27,7.0x7.0 km2,697675,17091,0,0,0,,
S5P_RPRO_L2__CH4____20180902T025620_20180902T043750_04593_03_020400_20221113T141310.nc,2018-09-02T02:56:20,7.0x7.0 km2,697675,12882,7,0,0,1.000000,
S5P_RPRO_L2__CH4____20180902T043750_20180902T061919_04594_03_020400_20221113T141312.nc,2018-09-02T04:37:50,7.0x7.0 km2,697890,43276,9533,167,2,0.982482,0.988024
S5P_RPRO_L2__CH4____20180902T061919_20180902T080049_04595_03_020400_20221113T141317.nc,2018-09-02T06:19:19,7.0x7.0 km2,697890,7697,0,0,0,,
S5P_RPRO_L2__CH4____20180903T041842_20180903T060012_04608_03_020400_20221113T145756.nc,2018-09-03T04:18:42,7.0x7.0 km2,697675,57930,12181,2084,1018,0.828914,0.511516
S5P_RPRO_L2__CH4____20180903T060012_20180903T074141_04609_03_020400_20221113T145758.nc,2018-09-03T06:00:12,7.0x7.0 km2,697890,10209,0,0,0,,
S5P_RPRO_L2__CH4____20180904T035935_20180904T054104_04622_03_020400_20221113T153130.nc,2018-09-04T03:59:35,7.0x7.0 km2,697675,65683,9639,3945,2734,0.590725,0.306971
S5P_RPRO_L2__CH4____20180904T054104_20180904T072234_04623_03_020400_20221113T153131.nc,2018-09-04T05:41:04,7.0x7.0 km2,697675,16339,0,0,0,,
S5P_RPRO_L2__CH4____20180905T034027_20180905T052157_04636_03_020400_20221113T160508.nc,2018-09-05T03:40:27,7.0x7.0 km2,697675,38099,5498,329,64,0.940160,0.805471
