granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180514T042147_20180514T060317_03019_03_020400_20221109T092730.nc,2018-05-14T04:21:47,7.0x7.0 km2,624575,64891,12179,410,31,0.966335,0.924390
S5P_RPRO_L2__CH4____20180514T060317_20180514T074447_03020_03_020400_20221109T092733.nc,2018-05-14T06:03:17,7.0x7.0 km2,697890,6963,0,0,0,,
S5P_RPRO_L2__CH4____20180515T040248_20180515T054418_03033_03_020400_20221109T092807.nc,2018-05-15T04:02:48,7.0x7.0 km2,697890,56466,9717,1070,418,0.889884,0.609346
S5P_RPRO_L2__CH4____20180515T054418_20180515T072549_03034_03_020400_20221109T092809.nc,2018-05-15T05:44:18,7.0x7.0 km2,697890,16786,0,0,0,,
S5P_RPRO_L2__CH4____20180516T034349_20180516T052519_03047_03_020400_20221109T092839.nc,2018-05-16T03:43:49,7.0x7.0 km2,697675,57674,5556,930,330,0.832613,0.645161
S5P_RPRO_L2__CH4____20180516T052519_20180516T070650_03048_03_020400_20221109T092844.nc,2018-05-16T05:25:19,7.0x7.0 km2,697675,28690,788,7,0,0.991117,1.000000
S5P_RPRO_L2__CH4____20180517T032450_20180517T050620_03061_03_020400_20221109T092932.nc,2018-05-17T03:24:50,7.0x7.0 km2,695740,39293,2188,3,0,0.998629,1.000000
S5P_RPRO_L2__CH4____20180517T050620_20180517T064750_03062_03_020400_20221109T092934.nc,2018-05-17T05:06:20,7.0x7.0 km2,697890,36573,3917,60,0,0.984682,1.000000
S5P_RPRO_L2__CH4____20180518T030551_20180518T044721_03075_03_020400_20221109T100733.nc,2018-05-18T03:05:51,7.0x7.0 km2,697890,27411,176,0,0,1.000000,
S5P_RPRO_L2__CH4____20180518T044721_20180518T062851_03076_03_020400_20221109T100735.nc,2018-05-18T04:47:21,7.0x7.0 km2,697675,30689,7979,41,0,0.994862,1.000000
S5P_RPRO_L2__CH4____20180518T062851_20180518T081021_03077_03_020400_20221109T100737.nc,2018-05-18T06:28:51,7.0x7.0 km2,697890,15749,0,0,0,,
S5P_RPRO_L2__CH4____20180519T024652_20180519T042822_03089_03_020400_20221109T100739.nc,2018-05-19T02:46:52,7.0x7.0 km2,624575,15862,0,0,0,,
S5P_RPRO_L2__CH4____20180519T042822_20180519T060952_03090_03_020400_20221108T105506.nc,2018-05-19T04:28:22,7.0x7.0 km2,697675,43000,11795,371,139,0.968546,0.625337
