model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,532,395,4.4788,0.0617,6.1972,-0.7965,intercept +1891.6837; impervious_fraction +15.7065; rice_fraction_single +5.8247; impervious_fraction x rice_fraction_single -69.1177
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,532,395,10.4763,0.0739,10.704,0.0332,intercept +1888.1251; impervious_fraction +27.5282; rice_fraction_single +21.9494; impervious_fraction x rice_fraction_single -118.7457
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,532,395,4.4788,0.0617,4.7195,-0.0419,intercept +1891.6837; impervious_fraction +15.7065; rice_fraction_single +5.8247; impervious_fraction x rice_fraction_single -69.1177
"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,927,0,12.7108,0.2689,16.7426,-0.2685,intercept +2302.0623; centre_lat -0.6829; centre_lon -3.3065
"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,927,0,6.5876,0.2849,8.0958,-0.0801,intercept +2165.8616; centre_lat -0.6408; centre_lon -2.1489
"OLS trend surface (lat, lon)",spatial blocks,unweighted,927,0,12.7108,0.2689,12.9453,0.2416,intercept +2302.0623; centre_lat -0.6829; centre_lon -3.3065
"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,0,6.5876,0.2849,6.6908,0.2623,intercept +2165.8616; centre_lat -0.6408; centre_lon -2.1489
"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,0,8.5884,0.6662,8.9739,0.6356,intercept +1888.9210; wind_u +3.0790; wind_v -3.8033; wind_speed +0.0472
"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,0,4.8988,0.6045,6.4324,0.3181,intercept +1892.6139; wind_u +0.8456; wind_v -3.5647; wind_speed -1.9056
"OLS wind (u, v, speed)",spatial blocks,unweighted,927,0,8.5884,0.6662,8.754,0.6532,intercept +1888.9210; wind_u +3.0790; wind_v -3.8033; wind_speed +0.0472
"OLS wind (u, v, speed)",spatial blocks,by sounding count,927,0,4.8988,0.6045,5.1249,0.5672,intercept +1892.6139; wind_u +0.8456; wind_v -3.5647; wind_speed -1.9056
OLS albedo (SWIR),leave-one-province-out,unweighted,927,0,10.5888,0.4926,12.3318,0.3118,intercept +1875.6500; surface_albedo_SWIR +199.8204
OLS albedo (SWIR),leave-one-province-out,by sounding count,927,0,6.235,0.3594,7.5183,0.0685,intercept +1880.0726; surface_albedo_SWIR +127.7999
OLS albedo (SWIR),spatial blocks,unweighted,927,0,10.5888,0.4926,10.7297,0.479,intercept +1875.6500; surface_albedo_SWIR +199.8204
OLS albedo (SWIR),spatial blocks,by sounding count,927,0,6.235,0.3594,6.3997,0.3251,intercept +1880.0726; surface_albedo_SWIR +127.7999
OLS wind + impervious,leave-one-province-out,unweighted,927,0,8.5385,0.6701,9.1862,0.6181,intercept +1888.0327; wind_u +2.6982; wind_v -3.7860; wind_speed +0.0207; impervious_fraction +8.3477
OLS wind + impervious,leave-one-province-out,by sounding count,927,0,4.8924,0.6056,6.5365,0.2959,intercept +1892.3951; wind_u +0.6082; wind_v -3.5468; wind_speed -1.9850; impervious_fraction +2.7942
OLS wind + impervious,spatial blocks,unweighted,927,0,8.5385,0.6701,8.7451,0.6539,intercept +1888.0327; wind_u +2.6982; wind_v -3.7860; wind_speed +0.0207; impervious_fraction +8.3477
OLS wind + impervious,spatial blocks,by sounding count,927,0,4.8924,0.6056,5.1481,0.5632,intercept +1892.3951; wind_u +0.6082; wind_v -3.5468; wind_speed -1.9850; impervious_fraction +2.7942
"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,532,0,8.4542,0.3969,9.4804,0.2416,intercept +1889.0577; wind_u +3.9055; wind_v -3.4440; wind_speed +0.1658
"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,532,0,4.5034,0.0514,6.7762,-1.1478,intercept +1893.3725; wind_u +1.0928; wind_v -1.5659; wind_speed -1.6745
"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,532,0,8.4542,0.3969,8.7689,0.3512,intercept +1889.0577; wind_u +3.9055; wind_v -3.4440; wind_speed +0.1658
"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,532,0,4.5034,0.0514,4.8276,-0.0902,intercept +1893.3725; wind_u +1.0928; wind_v -1.5659; wind_speed -1.6745
OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,532,0,10.2406,0.1151,10.7737,0.0206,intercept +1883.6577; surface_albedo_SWIR +112.0072
OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,532,0,4.5812,0.0183,5.4679,-0.3985,intercept +1890.4454; surface_albedo_SWIR +28.2407
OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,532,0,10.2406,0.1151,10.5758,0.0562,intercept +1883.6577; surface_albedo_SWIR +112.0072
OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,532,0,4.5812,0.0183,4.8767,-0.1125,intercept +1890.4454; surface_albedo_SWIR +28.2407
OLS wind + both fractions,leave-one-province-out,unweighted,532,395,8.445,0.3982,10.3831,0.0903,intercept +1889.0591; wind_u +3.7965; wind_v -3.4354; wind_speed +0.1316; impervious_fraction +2.4638; rice_fraction_single -1.8141
OLS wind + both fractions,leave-one-province-out,by sounding count,532,395,4.4293,0.0823,7.0268,-1.3096,intercept +1893.4707; wind_u +0.5499; wind_v -1.7911; wind_speed -1.9852; impervious_fraction +6.0936; rice_fraction_single -3.6734
OLS wind + both fractions,spatial blocks,unweighted,532,395,8.445,0.3982,8.7835,0.349,intercept +1889.0591; wind_u +3.7965; wind_v -3.4354; wind_speed +0.1316; impervious_fraction +2.4638; rice_fraction_single -1.8141
OLS wind + both fractions,spatial blocks,by sounding count,532,395,4.4293,0.0823,4.7601,-0.0599,intercept +1893.4707; wind_u +0.5499; wind_v -1.7911; wind_speed -1.9852; impervious_fraction +6.0936; rice_fraction_single -3.6734
OLS full covariates + both fractions,leave-one-province-out,unweighted,532,395,7.5339,0.5211,11.1062,-0.0408,intercept +4674.2854; wind_u +2.6034; wind_v -3.5639; wind_speed +0.0497; surface_albedo_SWIR +73.1721; surface_albedo_NIR +5.8874; solar_zenith_angle +0.9674; surface_altitude -0.3161; surface_pressure -0.0278; impervious_fraction +7.4258; rice_fraction_single +1.8621
OLS full covariates + both fractions,leave-one-province-out,by sounding count,532,395,4.0941,0.2159,7.2675,-1.4706,intercept +4155.4215; wind_u +0.0151; wind_v -2.9369; wind_speed -2.5240; surface_albedo_SWIR +38.2424; surface_albedo_NIR -38.3130; solar_zenith_angle +0.9620; surface_altitude -0.2837; surface_pressure -0.0225; impervious_fraction +5.8860; rice_fraction_single -0.0178
OLS full covariates + both fractions,spatial blocks,unweighted,532,395,7.5339,0.5211,8.7284,0.3571,intercept +4674.2854; wind_u +2.6034; wind_v -3.5639; wind_speed +0.0497; surface_albedo_SWIR +73.1721; surface_albedo_NIR +5.8874; solar_zenith_angle +0.9674; surface_altitude -0.3161; surface_pressure -0.0278; impervious_fraction +7.4258; rice_fraction_single +1.8621
OLS full covariates + both fractions,spatial blocks,by sounding count,532,395,4.0941,0.2159,4.7256,-0.0446,intercept +4155.4215; wind_u +0.0151; wind_v -2.9369; wind_speed -2.5240; surface_albedo_SWIR +38.2424; surface_albedo_NIR -38.3130; solar_zenith_angle +0.9620; surface_altitude -0.2837; surface_pressure -0.0225; impervious_fraction +5.8860; rice_fraction_single -0.0178
OLS wind + trend surface,leave-one-province-out,unweighted,927,0,8.2705,0.6905,9.1138,0.6241,intercept +2024.0865; wind_u +3.5886; wind_v -3.6748; wind_speed +0.9174; centre_lat +0.2511; centre_lon -1.2197
OLS wind + trend surface,leave-one-province-out,by sounding count,927,0,4.2754,0.6988,5.1358,0.5653,intercept +2087.6764; wind_u +3.2749; wind_v -2.7386; wind_speed -0.2247; centre_lat -0.6465; centre_lon -1.4965
OLS wind + trend surface,spatial blocks,unweighted,927,0,8.2705,0.6905,8.5567,0.6687,intercept +2024.0865; wind_u +3.5886; wind_v -3.6748; wind_speed +0.9174; centre_lat +0.2511; centre_lon -1.2197
OLS wind + trend surface,spatial blocks,by sounding count,927,0,4.2754,0.6988,4.4278,0.6769,intercept +2087.6764; wind_u +3.2749; wind_v -2.7386; wind_speed -0.2247; centre_lat -0.6465; centre_lon -1.4965
OLS sampling composition (when observed),leave-one-province-out,unweighted,927,0,10.8182,0.4704,12.5289,0.2896,intercept +1888.5401; sampling_season +1.0573
OLS sampling composition (when observed),leave-one-province-out,by sounding count,927,0,5.8084,0.444,8.689,-0.2442,intercept +1888.8180; sampling_season +1.0420
OLS sampling composition (when observed),spatial blocks,unweighted,927,0,10.8182,0.4704,10.8566,0.4666,intercept +1888.5401; sampling_season +1.0573
OLS sampling composition (when observed),spatial blocks,by sounding count,927,0,5.8084,0.444,5.8996,0.4264,intercept +1888.8180; sampling_season +1.0420
