centre_lat,centre_lon,sounding_count,ch4_deseasonalised_ppb,mean_day_of_year,day_of_year_sd,poorly_identified
34.3250,119.6750,126,1891.2222,274.585,66.447,0
34.3250,119.9250,71,1887.7142,259.808,68.447,0
34.3250,120.1750,12,1896.7953,259.587,83.526,0
34.3250,120.4250,10,1873.9443,245.566,57.733,0
34.3250,120.6750,23,1856.7576,203.511,10.138,1
34.3250,120.9250,14,1864.2795,192.594,8.617,1
34.3250,121.1750,16,1860.1567,195.728,2.320,1
34.3250,121.4250,20,1862.2022,192.966,10.535,1
34.3250,121.6750,31,1858.9872,171.066,33.458,0
34.3250,121.9250,47,1860.1461,169.588,34.238,0
34.3250,122.1750,61,1861.1454,171.915,34.655,0
34.3250,122.4250,76,1865.8402,169.227,35.010,0
34.0750,114.9250,324,1893.5591,260.796,67.463,0
34.0750,115.1750,328,1893.0139,262.567,65.498,0
34.0750,115.4250,346,1894.7238,265.706,65.975,0
34.0750,115.6750,368,1895.8526,267.802,65.560,0
34.0750,115.9250,348,1894.0273,270.590,66.247,0
34.0750,116.1750,348,1893.4212,274.754,62.626,0
34.0750,116.4250,321,1898.1264,274.929,62.861,0
34.0750,116.6750,325,1894.9143,273.252,65.194,0
34.0750,116.9250,294,1893.8432,273.228,63.274,0
34.0750,117.1750,294,1892.2599,273.739,64.807,0
34.0750,117.4250,249,1894.4279,269.205,68.293,0
34.0750,117.6750,301,1892.6570,273.693,68.023,0
34.0750,117.9250,246,1889.3855,272.533,67.017,0
34.0750,118.1750,33,1886.6817,284.572,50.567,0
34.0750,118.4250,230,1889.5837,283.847,64.576,0
34.0750,118.6750,299,1891.6086,282.597,66.106,0
34.0750,118.9250,300,1888.2965,273.762,70.203,0
34.0750,119.1750,260,1887.7312,262.632,74.890,0
34.0750,119.4250,254,1888.6799,259.157,74.748,0
34.0750,119.6750,264,1890.9293,273.301,71.169,0
34.0750,119.9250,253,1891.2242,265.683,76.058,0
34.0750,120.1750,194,1888.2960,257.658,70.136,0
34.0750,120.4250,14,1870.5137,269.669,62.770,0
34.0750,120.6750,4,1870.0197,221.159,0.000,1
34.0750,120.9250,14,1867.8861,196.093,13.241,1
34.0750,121.1750,21,1859.0169,196.786,2.499,1
34.0750,121.4250,22,1858.7232,196.894,2.492,1
34.0750,121.6750,27,1858.8523,179.571,30.088,0
34.0750,121.9250,54,1869.6196,164.477,33.504,0
34.0750,122.1750,49,1868.8622,154.303,29.333,0
34.0750,122.4250,83,1870.9406,167.595,31.532,0
33.8250,114.9250,242,1891.4901,252.861,69.022,0
33.8250,115.1750,357,1892.0775,260.923,67.027,0
33.8250,115.4250,348,1892.2386,267.094,66.562,0
33.8250,115.6750,310,1892.7804,267.694,69.135,0
33.8250,115.9250,319,1892.8094,269.322,66.658,0
33.8250,116.1750,331,1894.6761,276.087,64.872,0
33.8250,116.4250,276,1895.5378,269.446,68.576,0
