centre_lat,centre_lon,sounding_count,eastward_wind_mean,eastward_wind_count,northward_wind_mean,northward_wind_count,solar_zenith_angle_mean,solar_zenith_angle_count,surface_albedo_NIR_mean,surface_albedo_NIR_count,surface_albedo_SWIR_mean,surface_albedo_SWIR_count,surface_altitude_mean,surface_altitude_count,surface_pressure_mean,surface_pressure_count,xch4_apriori_mean,xch4_apriori_count,xch4_departure_mean,xch4_departure_count
34.8250,117.1750,205,0.868604,205,-0.803332,205,41.0328,205,0.244677,205,0.114136,205,48.576,205,101232,205,1867.48,205,24.4858,205
34.8250,117.4250,332,0.708215,332,-0.650385,332,40.9814,332,0.24336,332,0.123675,332,95.9243,332,100707,332,1865.04,332,23.7541,332
34.8250,117.6750,323,0.808867,323,-0.740985,323,43.5116,323,0.247971,323,0.124486,323,76.1508,323,100997,323,1866.93,323,27.1905,323
34.8250,117.9250,342,0.450844,342,-0.852372,342,42.596,342,0.256667,342,0.126385,342,51.0208,342,101278,342,1865.87,342,21.4003,342
34.8250,118.1750,372,0.16461,372,-0.945478,372,42.904,372,0.246854,372,0.126587,372,47.7438,372,101360,372,1866.55,372,23.2509,372
34.8250,118.4250,287,0.137785,287,-1.13028,287,43.3073,287,0.248304,287,0.124993,287,55.7963,287,101270,287,1867.61,287,22.4677,287
34.8250,118.6750,235,0.151193,235,-0.906512,235,44.0763,235,0.251684,235,0.143258,235,55.6605,235,101417,235,1864.7,235,23.1144,235
34.8250,118.9250,161,0.332878,161,-1.26399,161,42.1063,161,0.263414,161,0.117715,161,22.2442,161,101633,161,1868.13,161,19.9383,161
34.8250,119.1750,39,0.510534,39,-1.65035,39,43.2022,39,0.258918,39,0.106152,39,6.43364,39,101639,39,1870.98,39,22.1985,39
34.8250,119.4250,2,-5.52312,2,3.92337,2,17.5309,2,0.0214119,2,-0.0371062,2,0,2,100755,2,1892.56,2,-19.6995,2
34.8250,119.6750,29,-2.3171,29,4.09889,29,20.3209,29,0.0124506,29,-0.0274571,29,0,29,101138,29,1868.52,29,4.86693,29
34.8250,119.9250,44,-2.88822,44,4.09747,44,20.1392,44,0.0180301,44,-0.0229212,44,0,44,100804,44,1876.49,44,-5.88588,44
34.8250,120.1750,51,-2.95211,51,4.03604,51,18.8866,51,0.019866,51,-0.024853,51,0,51,100802,51,1878.57,51,-4.59585,51
34.8250,120.4250,46,-2.06359,46,4.11386,46,18.119,46,0.0227083,46,-0.0265261,46,0,46,100768,46,1875.66,46,-6.47341,46
34.8250,120.6750,53,-1.32745,53,3.54095,53,19.3038,53,0.022211,53,-0.0250055,53,0,53,100937,53,1874.98,53,4.72644,53
34.8250,120.9250,45,-1.77414,45,3.88071,45,19.2869,45,0.0169594,45,-0.0308501,45,0,45,100841,45,1877.12,45,-9.17848,45
34.8250,121.1750,37,-3.00959,37,4.24676,37,19.4694,37,0.0179801,37,-0.0299971,37,0,37,100954,37,1875.55,37,-8.91419,37
34.8250,121.4250,40,-2.51089,40,4.67427,40,19.4423,40,0.0128124,40,-0.0333596,40,0,40,100908,40,1871.94,40,-9.5188,40
34.8250,121.6750,53,-1.62045,53,4.53764,53,18.8081,53,0.00981571,53,-0.0309747,53,0,53,100974,53,1860.95,53,-4.59413,53
34.8250,121.9250,49,-1.63671,49,4.93455,49,19.0963,49,0.010617,49,-0.028833,49,0,49,100993,49,1859.72,49,-6.62464,49
34.8250,122.1750,57,-2.37176,57,3.78113,57,19.5938,57,0.00571547,57,-0.0329977,57,0,57,101008,57,1858.13,57,-5.40097,57
34.8250,122.4250,52,-2.63827,52,2.83681,52,20.0321,52,0.0080942,52,-0.0306053,52,0,52,101068,52,1854,52,4.84189,52
34.5750,114.9250,332,0.699591,332,-0.247233,332,40.6866,332,0.281923,332,0.154011,332,60.8241,332,100960,332,1870.24,332,26.1289,332
34.5750,115.1750,246,0.65867,246,-0.219088,246,38.633,246,0.275319,246,0.148988,246,60.6646,246,100766,246,1870.99,246,25.5014,246
34.5750,115.4250,211,0.435651,211,-0.851709,211,38.7386,211,0.282358,211,0.133489,211,58.2006,211,100852,211,1872.37,211,26.0855,211
34.5750,115.6750,296,0.699807,296,-0.0678904,296,40.9998,296,0.26149,296,0.137406,296,54.4226,296,101071,296,1867.29,296,28.116,296
34.5750,115.9250,254,0.773976,254,-0.48528,254,41.8068,254,0.275081,254,0.133973,254,50.1333,254,101202,254,1868.53,254,29.7469,254
34.5750,116.1750,365,0.528486,365,-0.172431,365,42.2673,365,0.273766,365,0.131562,365,48.6061,365,101323,365,1865.95,365,28.3229,365
34.5750,116.4250,381,0.695515,381,-0.0544971,381,41.3957,381,0.275015,381,0.119777,381,46.5583,381,101231,381,1866.77,381,24.5437,381
34.5750,116.6750,347,0.62,347,-0.355075,347,41.935,347,0.26985,347,0.119035,347,42.3595,347,101332,347,1867.54,347,22.055,347
34.5750,116.9250,340,0.449664,340,-0.940411,340,41.9253,340,0.279373,340,0.117317,340,38.0016,340,101494,340,1867.82,340,24.8078,340
34.5750,117.1750,81,0.575131,81,-1.63423,81,39.7599,81,0.264589,81,0.085146,81,35.8117,81,101296,81,1872.5,81,20.221,81
34.5750,117.4250,187,0.772257,187,-1.20338,187,43.1383,187,0.252728,187,0.121225,187,54.3094,187,101326,187,1866.67,187,25.2781,187
34.5750,117.6750,381,0.771315,381,-0.919113,381,43.0598,381,0.263647,381,0.117596,381,35.2905,381,101525,381,1866.2,381,24.4088,381
34.5750,117.9250,402,0.566625,402,-0.662659,402,44.1865,402,0.262863,402,0.121396,402,29.2918,402,101663,402,1865.57,402,23.9177,402
34.5750,118.1750,367,0.250398,367,-0.797395,367,42.5826,367,0.25626,367,0.107642,367,32.5937,367,101566,367,1866.7,367,17.7731,367
34.5750,118.4250,310,0.182573,310,-0.994271,310,42.4213,310,0.257929,310,0.123787,310,48.3083,310,101325,310,1867.13,310,22.5711,310
34.5750,118.6750,231,0.150876,231,-1.74457,231,43.7974,231,0.267688,231,0.116235,231,39.7145,231,101516,231,1867.71,231,22.157,231
34.5750,118.9250,297,0.278594,297,-1.33868,297,43.6426,297,0.280492,297,0.0949649,297,6.66493,297,101949,297,1866.9,297,17.9649,297
34.5750,119.1750,224,0.343056,224,-1.30327,224,42.0853,224,0.255623,224,0.0994069,224,8.76495,224,101848,224,1865.7,224,22.2296,224
34.5750,119.4250,55,0.250695,55,-1.75901,55,41.119,55,0.276763,55,0.0806695,55,5.77404,55,101898,55,1867.27,55,19.3742,55
34.5750,119.6750,2,-1.42069,2,4.67298,2,20.6075,2,0.0183412,2,-0.0230938,2,0,2,101098,2,1869.35,2,1.79537,2
34.5750,119.9250,14,-0.882566,14,3.89234,14,21.0317,14,0.00839656,14,-0.0275292,14,0,14,100982,14,1868.21,14,6.66558,14
34.5750,120.1750,18,-3.20481,18,3.75257,18,17.8049,18,0.0210597,18,-0.0294117,18,0,18,100658,18,1882.54,18,-5.06537,18
34.5750,120.4250,32,-1.36904,32,2.9072,32,17.3251,32,0.0234952,32,-0.0283825,32,0,32,100546,32,1878.39,32,-6.83059,32
34.5750,120.6750,32,-2.41107,32,4.90279,32,17.6408,32,0.0293894,32,-0.024139,32,0,32,100737,32,1880.49,32,-16.6124,32
34.5750,120.9250,30,-2.2893,30,5.82521,30,17.8224,30,0.017955,30,-0.0338811,30,0,30,100819,30,1879.75,30,-18.0265,30
34.5750,121.1750,16,-2.41839,16,6.30811,16,17.0915,16,0.020245,16,-0.0350798,16,0,16,100784,16,1876.74,16,-16.091,16
34.5750,121.4250,24,-1.69873,24,4.72175,24,17.5094,24,0.00687843,24,-0.0413821,24,0,24,100751,24,1871.26,24,-10.4764,24
34.5750,121.6750,42,-1.79349,42,4.8216,42,19.7597,42,0.00887167,42,-0.033713,42,0,42,100862,42,1860.74,42,-8.87474,42
34.5750,121.9250,49,-2.07967,49,3.97135,49,19.2497,49,0.00794359,49,-0.0301741,49,0,49,101047,49,1858.6,49,-6.71092,49
34.5750,122.1750,56,-2.89793,56,3.65085,56,19.4476,56,0.00537735,56,-0.0322152,56,0,56,101006,56,1859.44,56,-5.75215,56
34.5750,122.4250,49,-2.79585,49,4.2319,49,20.0999,49,0.00624224,49,-0.0336101,49,0,49,100951,49,1857.49,49,-0.204115,49
34.3250,114.9250,304,0.846684,304,-0.132525,304,41.1078,304,0.281025,304,0.140059,304,55.2552,304,101096,304,1870.68,304,28.3782,304
34.3250,115.1750,308,0.724015,308,-0.315521,308,41.3324,308,0.28048,308,0.140717,308,54.3406,308,101113,308,1869.76,308,28.1188,308
34.3250,115.4250,343,0.664601,343,-0.127833,343,42.1339,343,0.281522,343,0.144355,343,52.0903,343,101138,343,1869.03,343,28.6921,343
34.3250,115.6750,295,0.659799,295,-0.251291,295,41.1551,295,0.275009,295,0.150426,295,47.7206,295,101187,295,1868.93,295,30.8007,295
34.3250,115.9250,351,0.69626,351,-0.0126559,351,42.8787,351,0.280729,351,0.140164,351,44.9473,351,101279,351,1867.34,351,28.6453,351
34.3250,116.1750,349,0.646925,349,-0.349376,349,41.9575,349,0.27456,349,0.132494,349,43.888,349,101316,349,1868.51,349,28.742,349
34.3250,116.4250,382,0.515764,382,-0.28575,382,42.0379,382,0.270551,382,0.120642,382,42.779,382,101357,382,1867.83,382,26.0613,382
34.3250,116.6750,400,0.547461,400,-0.434753,400,43.1331,400,0.274659,400,0.118885,400,41.5365,400,101422,400,1867.02,400,25.2657,400
34.3250,116.9250,366,0.478814,366,-0.616669,366,42.8441,366,0.267838,366,0.116554,366,41.4638,366,101455,366,1867.86,366,27.2788,366
34.3250,117.1750,151,0.604218,151,-1.4828,151,38.8171,151,0.243575,151,0.108623,151,39.7737,151,101187,151,1870.43,151,21.6789,151
34.3250,117.4250,249,0.54663,249,-1.06903,249,40.6299,249,0.247052,249,0.117196,249,38.639,249,101355,249,1868.35,249,22.6538,249
34.3250,117.6750,372,0.515076,372,-0.704254,372,42.5747,372,0.269127,372,0.128596,372,28.4446,372,101604,372,1866.05,372,23.686,372
34.3250,117.9250,271,0.404894,271,-1.04089,271,42.9287,271,0.252541,271,0.112492,271,24.4237,271,101654,271,1866.86,271,23.1743,271
34.3250,118.1750,241,0.29524,241,-1.06405,241,43.5518,241,0.26018,241,0.108636,241,27.5415,241,101635,241,1867.29,241,23.0707,241
34.3250,118.4250,283,0.255043,283,-1.07258,283,45.3786,283,0.25111,283,0.127648,283,30.9511,283,101710,283,1866.48,283,25.725,283
34.3250,118.6750,241,0.294897,241,-1.264,241,46.5548,241,0.250799,241,0.115244,241,11.7201,241,102098,241,1867.26,241,22.8505,241
34.3250,118.9250,326,0.017732,326,-1.05914,326,42.9256,326,0.285807,326,0.0958507,326,2.85485,326,102036,326,1866.66,326,18.1693,326
34.3250,119.1750,293,0.417635,293,-1.06507,293,42.6029,293,0.278312,293,0.100636,293,3.43033,293,101992,293,1865.83,293,21.4978,293
34.3250,119.4250,253,0.395141,253,-1.22281,253,41.0785,253,0.281193,253,0.0943114,253,2.10901,253,101909,253,1866.35,253,21.0948,253
34.3250,119.6750,126,0.782361,126,-1.71634,126,44.3054,126,0.280551,126,0.102159,126,3.66443,126,101941,126,1864.77,126,27.3495,126
34.3250,119.9250,71,0.502932,71,-2.15655,71,40.9922,71,0.305123,71,0.0901061,71,7.51724,71,101750,71,1866.29,71,23.0504,71
34.3250,120.1750,12,1.03381,12,-2.53606,12,42.5948,12,0.288253,12,0.0885831,12,5.21083,12,102156,12,1861.39,12,33.3065,12
34.3250,120.4250,10,-0.689832,10,1.42969,10,32.5488,10,0.0845569,10,-0.00904345,10,0.715839,10,101226,10,1872.46,10,3.46083,10
34.3250,120.6750,23,-2.20257,23,4.14902,23,17.7178,23,0.0331521,23,-0.0208204,23,0,23,100632,23,1882.42,23,-22.2023,23
34.3250,120.9250,14,-2.93477,14,6.86252,14,16.5927,14,0.034142,14,-0.0323538,14,0,14,100751,14,1879.68,14,-17.4511,14
34.3250,121.1750,16,-3.24562,16,7.74675,16,16.9673,16,0.0253794,16,-0.0365117,16,0,16,100846,16,1880.11,16,-20.4732,16
34.3250,121.4250,20,-2.49883,20,6.25009,20,17.2513,20,0.0164562,20,-0.0383172,20,0,20,100825,20,1876.55,20,-16.1066,20
34.3250,121.6750,31,-2.08378,31,6.18462,31,18.7131,31,0.0145412,31,-0.0332268,31,0,31,100836,31,1865.34,31,-12.4785,31
34.3250,121.9250,47,-1.89267,47,5.06127,47,18.9929,47,0.00915774,47,-0.0356407,47,0,47,100861,47,1862.78,47,-9.78567,47
34.3250,122.1750,61,-2.72967,61,4.85875,61,19.0532,61,0.00721822,61,-0.0363606,61,0,61,100997,61,1862.44,61,-7.71,61
34.3250,122.4250,65,-2.43066,65,4.64233,65,19.1238,65,0.00566454,65,-0.035543,65,0,65,100871,65,1860.75,65,-3.40482,65
34.0750,114.9250,324,0.656243,324,-0.0301743,324,39.8589,324,0.286462,324,0.124491,324,50.8688,324,101041,324,1871.59,324,22.9588,324
34.0750,115.1750,328,0.782266,328,-0.117199,328,40.0085,328,0.286435,328,0.128349,328,49.1989,328,101045,328,1871.18,328,23.5001,328
34.0750,115.4250,346,0.626524,346,-0.153506,346,40.9713,346,0.284814,346,0.130292,346,46.6125,346,101147,346,1869.86,346,26.4762,346
34.0750,115.6750,368,0.712664,368,-0.0262111,368,41.6451,368,0.277146,368,0.134046,368,43.1803,368,101218,368,1869.28,368,27.5922,368
34.0750,115.9250,348,0.650872,348,-0.0991382,348,42.4104,348,0.270736,348,0.141134,348,40.6188,348,101324,348,1868.54,348,26.2268,348
34.0750,116.1750,348,0.553297,348,-0.313935,348,42.7495,348,0.271722,348,0.13416,348,38.3202,348,101399,348,1869.18,348,25.9213,348
34.0750,116.4250,321,0.734005,321,-0.362044,321,42.7067,321,0.268463,321,0.130579,321,38.1866,321,101412,321,1868.88,321,30.8444,321
34.0750,116.6750,325,0.283279,325,-0.326698,325,42.4026,325,0.275646,325,0.120692,325,37.7015,325,101450,325,1868.85,325,27.4266,325
34.0750,116.9250,294,0.33303,294,-0.683146,294,42.1265,294,0.242327,294,0.114972,294,59.843,294,101190,294,1868.91,294,27.135,294
34.0750,117.1750,294,0.462962,294,-0.802354,294,42.9442,294,0.25436,294,0.123414,294,45.0943,294,101408,294,1867.93,294,25.5325,294
34.0750,117.4250,249,0.47124,249,-0.700138,249,41.4815,249,0.273293,249,0.113748,249,37.0656,249,101447,249,1868.74,249,26.714,249
34.0750,117.6750,301,0.403484,301,-0.841974,301,42.7865,301,0.272449,301,0.120706,301,31.564,301,101617,301,1867.79,301,25.4534,301
34.0750,117.9250,246,-0.129769,246,-1.16263,246,41.2925,246,0.278333,246,0.0965779,246,24.5485,246,101639,246,1870.9,246,21.3161,246
34.0750,118.1750,33,-0.537455,33,-1.36748,33,43.4179,33,0.227645,33,0.100241,33,22.9544,33,101828,33,1873.27,33,18.0138,33
34.0750,118.4250,230,0.268559,230,-0.843489,230,44.9524,230,0.26926,230,0.108191,230,18.3831,230,101971,230,1867.07,230,22.4464,230
34.0750,118.6750,299,0.295646,299,-0.846405,299,44.5661,299,0.261488,299,0.104781,299,10.7658,299,102016,299,1867.11,299,23.9834,299
34.0750,118.9250,300,0.385846,300,-0.968391,300,42.3981,300,0.264161,300,0.103712,300,6.31995,300,101941,300,1867.44,300,20.2955,300
34.0750,119.1750,260,0.368612,260,-0.76792,260,40.0502,260,0.266146,260,0.10013,260,4.0366,260,101897,260,1866.83,260,19.1299,260
34.0750,119.4250,254,0.467542,254,-0.765397,254,39.3238,254,0.27091,254,0.0961531,254,2.50549,254,101806,254,1866.4,254,20.4359,254
34.0750,119.6750,264,0.504774,264,-1.03055,264,42.5402,264,0.269291,264,0.103343,264,3.94892,264,101889,264,1865.01,264,24.3035,264
34.0750,119.9250,253,0.614126,253,-1.14074,253,41.3491,253,0.274187,253,0.101689,253,3.96109,253,101778,253,1864.19,253,24.8701,253
34.0750,120.1750,194,0.56367,194,-1.68623,194,40.2257,194,0.285405,194,0.087785,194,3.69095,194,101727,194,1864.66,194,24.1749,194
34.0750,120.4250,14,0.592225,14,-3.30989,14,43.7099,14,0.195247,14,0.0400445,14,2.68042,14,102034,14,1863.86,14,8.41583,14
34.0750,120.6750,4,0.626483,4,-0.248701,4,20.5294,4,0.0472918,4,0.0204656,4,0,4,100605,4,1881.14,4,0.962198,4
34.0750,120.9250,14,-2.59518,14,5.8452,14,16.9396,14,0.0443338,14,-0.0253686,14,0,14,100720,14,1879.37,14,-11.8066,14
34.0750,121.1750,21,-3.67645,21,7.50848,21,17.1216,21,0.0226312,21,-0.0362707,21,0,21,100872,21,1880.81,21,-21.7259,21
34.0750,121.4250,22,-3.35007,22,7.21346,22,17.2871,22,0.018223,22,-0.0378613,22,0,22,100905,22,1879.4,22,-20.5506,22
34.0750,121.6750,27,-2.53121,27,6.46981,27,18.1958,27,0.0162218,27,-0.0355354,27,0,27,100877,27,1869.62,27,-14.7984,27
