variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
precision under 10 ppb,OLS rice_fraction_single,leave-one-province-out,by sounding count,531,-0.4140,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS rice_fraction_single,spatial blocks,unweighted,531,-0.0314,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS rice_fraction_single,spatial blocks,by sounding count,531,-0.0925,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,531,-0.1290,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,531,-0.8454,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,531,0.0169,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,531,-0.0775,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,926,-0.2863,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,926,-0.0775,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS trend surface (lat, lon)",spatial blocks,unweighted,926,0.2401,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,926,0.2579,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,926,0.6332,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,926,0.3110,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS wind (u, v, speed)",spatial blocks,unweighted,926,0.6527,+0.0000,+0.0000,same cells as committed,110920,filter
precision under 10 ppb,"OLS wind (u, v, speed)",spatial blocks,by sounding count,926,0.5627,+0.0000,+0.0000,same cells as committed,110920,filter
SWIR albedo at least 0.05,constant (global mean),leave-one-province-out,unweighted,752,-0.0086,+0.1638,+0.0073,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,constant (global mean),leave-one-province-out,by sounding count,752,-0.0308,+0.0545,+0.0803,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,constant (global mean),spatial blocks,unweighted,752,-0.0062,+0.0022,+0.0017,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,constant (global mean),spatial blocks,by sounding count,752,-0.0081,-0.0050,+0.0070,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,spatial null (queen neighbour mean),leave-one-province-out,unweighted,752,0.0191,+0.1103,+0.0002,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,752,0.0400,+0.0372,+0.0348,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,spatial null (queen neighbour mean),spatial blocks,unweighted,752,0.0384,-0.2940,-0.0815,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,spatial null (queen neighbour mean),spatial blocks,by sounding count,752,0.1064,-0.4073,-0.1588,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction,leave-one-province-out,unweighted,752,-0.0083,+0.1091,+0.0613,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction,leave-one-province-out,by sounding count,752,-0.0809,+0.0811,+0.1287,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction,spatial blocks,unweighted,752,0.0271,-0.0576,+0.0077,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction,spatial blocks,by sounding count,752,-0.0043,-0.0287,+0.0247,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS rice_fraction_single,leave-one-province-out,unweighted,498,-0.2087,-0.1413,+0.0419,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS rice_fraction_single,leave-one-province-out,by sounding count,498,-0.2212,+0.1928,+0.2393,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS rice_fraction_single,spatial blocks,unweighted,498,-0.0559,-0.0245,-0.0133,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS rice_fraction_single,spatial blocks,by sounding count,498,-0.0252,+0.0673,+0.0081,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,498,-0.2682,-0.1392,+0.0925,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,498,-0.5901,+0.2553,+0.3030,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,498,0.0218,+0.0049,+0.0390,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,498,0.0244,+0.1019,+0.0548,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,752,-0.0995,+0.1868,-0.0080,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,752,-0.0024,+0.0751,-0.0296,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS trend surface (lat, lon)",spatial blocks,unweighted,752,-0.0201,-0.2602,-0.0110,matched reference on the 752 surviving cells,99213,filter
SWIR albedo at least 0.05,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,752,0.0352,-0.2227,-0.0776,matched reference on the 752 surviving cells,99213,filter
