model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,531,395,10.2858,0.0363,10.4616,0.0031,intercept +1877.8846; impervious_fraction +9.2197; rice_fraction_single +11.8091
OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,531,395,4.5642,0.0114,4.7992,-0.093,intercept +1883.2982; impervious_fraction -1.8452; rice_fraction_single -3.6479
OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,531,395,10.204,0.0516,11.1695,-0.1364,intercept +1876.9528; impervious_fraction +19.0215; rice_fraction_single +24.1571; impervious_fraction x rice_fraction_single -106.5840
OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,531,395,4.5279,0.0271,6.5614,-1.0431,intercept +1882.4780; impervious_fraction +4.9059; rice_fraction_single +2.5211; impervious_fraction x rice_fraction_single -50.6237
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,531,395,10.204,0.0516,10.3736,0.0198,intercept +1876.9528; impervious_fraction +19.0215; rice_fraction_single +24.1571; impervious_fraction x rice_fraction_single -106.5840
OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,531,395,4.5279,0.0271,4.7539,-0.0725,intercept +1882.4780; impervious_fraction +4.9059; rice_fraction_single +2.5211; impervious_fraction x rice_fraction_single -50.6237
"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,926,0,12.6834,0.3638,17.1557,-0.1639,intercept +2387.3376; centre_lat -0.3761; centre_lon -4.2101
"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,926,0,6.7427,0.3824,8.3793,0.0462,intercept +2229.8530; centre_lat -0.2513; centre_lon -2.8930
"OLS trend surface (lat, lon)",spatial blocks,unweighted,926,0,12.6834,0.3638,12.9285,0.339,intercept +2387.3376; centre_lat -0.3761; centre_lon -4.2101
"OLS trend surface (lat, lon)",spatial blocks,by sounding count,926,0,6.7427,0.3824,6.8316,0.366,intercept +2229.8530; centre_lat -0.2513; centre_lon -2.8930
"OLS wind (u, v, speed)",leave-one-province-out,unweighted,926,0,8.4712,0.7162,9.2076,0.6647,intercept +1878.8857; wind_u +2.6793; wind_v -3.7469; wind_speed -1.1034
"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,926,0,5.2036,0.6322,6.9279,0.348,intercept +1884.0022; wind_u +0.4488; wind_v -3.2525; wind_speed -3.5608
"OLS wind (u, v, speed)",spatial blocks,unweighted,926,0,8.4712,0.7162,8.6292,0.7055,intercept +1878.8857; wind_u +2.6793; wind_v -3.7469; wind_speed -1.1034
"OLS wind (u, v, speed)",spatial blocks,by sounding count,926,0,5.2036,0.6322,5.4823,0.5917,intercept +1884.0022; wind_u +0.4488; wind_v -3.2525; wind_speed -3.5608
OLS albedo (SWIR),leave-one-province-out,unweighted,926,0,10.2904,0.5812,12.7193,0.3602,intercept +1861.2037; surface_albedo_SWIR +232.7782
OLS albedo (SWIR),leave-one-province-out,by sounding count,926,0,6.4419,0.4363,7.9488,0.1417,intercept +1866.4908; surface_albedo_SWIR +156.2169
OLS albedo (SWIR),spatial blocks,unweighted,926,0,10.2904,0.5812,10.4345,0.5694,intercept +1861.2037; surface_albedo_SWIR +232.7782
OLS albedo (SWIR),spatial blocks,by sounding count,926,0,6.4419,0.4363,6.5768,0.4124,intercept +1866.4908; surface_albedo_SWIR +156.2169
OLS wind + impervious,leave-one-province-out,unweighted,926,0,8.4632,0.7167,9.472,0.6452,intercept +1878.5331; wind_u +2.5284; wind_v -3.7407; wind_speed -1.1136; impervious_fraction +3.3027
OLS wind + impervious,leave-one-province-out,by sounding count,926,0,5.1884,0.6343,6.9742,0.3392,intercept +1884.3494; wind_u +0.8278; wind_v -3.2794; wind_speed -3.4344; impervious_fraction -4.4349
OLS wind + impervious,spatial blocks,unweighted,926,0,8.4632,0.7167,8.6536,0.7039,intercept +1878.5331; wind_u +2.5284; wind_v -3.7407; wind_speed -1.1136; impervious_fraction +3.3027
OLS wind + impervious,spatial blocks,by sounding count,926,0,5.1884,0.6343,5.4773,0.5924,intercept +1884.3494; wind_u +0.8278; wind_v -3.2794; wind_speed -3.4344; impervious_fraction -4.4349
"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,531,0,8.22,0.3845,9.3698,0.2003,intercept +1879.3080; wind_u +3.3658; wind_v -2.9764; wind_speed -0.9270
"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,531,0,4.3527,0.1009,6.7831,-1.1834,intercept +1884.2973; wind_u +0.3321; wind_v -1.3895; wind_speed -3.1747
"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,531,0,8.22,0.3845,8.475,0.3458,intercept +1879.3080; wind_u +3.3658; wind_v -2.9764; wind_speed -0.9270
"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,531,0,4.3527,0.1009,4.6167,-0.0115,intercept +1884.2973; wind_u +0.3321; wind_v -1.3895; wind_speed -3.1747
OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,531,0,9.7436,0.1352,10.4741,0.0007,intercept +1871.3227; surface_albedo_SWIR +118.6782
OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,531,0,4.5139,0.0331,6.0196,-0.7195,intercept +1878.5647; surface_albedo_SWIR +37.7955
OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,531,0,9.7436,0.1352,9.9847,0.0919,intercept +1871.3227; surface_albedo_SWIR +118.6782
OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,531,0,4.5139,0.0331,4.726,-0.0599,intercept +1878.5647; surface_albedo_SWIR +37.7955
OLS wind + both fractions,leave-one-province-out,unweighted,531,395,8.2009,0.3874,9.9872,0.0915,intercept +1879.5870; wind_u +3.5894; wind_v -2.9911; wind_speed -0.8922; impervious_fraction -4.1107; rice_fraction_single +1.3149
