predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gaia+nesdc,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,6.5876,0.2849,6.6908,0.2623,no
gaia+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gaia+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gaia+nesdc,"OLS wind (u, v, speed)",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gaia+nesdc,"OLS wind (u, v, speed)",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gaia+nesdc,OLS albedo (SWIR),leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gaia+nesdc,OLS albedo (SWIR),leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gaia+nesdc,OLS albedo (SWIR),spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gaia+nesdc,OLS albedo (SWIR),spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gaia+nesdc,OLS wind + impervious,leave-one-province-out,unweighted,927,8.5385,0.6701,9.1862,0.6181,no
gaia+nesdc,OLS wind + impervious,leave-one-province-out,by sounding count,927,4.8924,0.6056,6.5365,0.2959,no
gaia+nesdc,OLS wind + impervious,spatial blocks,unweighted,927,8.5385,0.6701,8.7451,0.6539,no
gaia+nesdc,OLS wind + impervious,spatial blocks,by sounding count,927,4.8924,0.6056,5.1481,0.5632,no
gaia+nesdc,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,532,8.4542,0.3969,9.4804,0.2416,no
gaia+nesdc,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,532,4.5034,0.0514,6.7762,-1.1478,no
gaia+nesdc,"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,532,8.4542,0.3969,8.7689,0.3512,no
gaia+nesdc,"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,532,4.5034,0.0514,4.8276,-0.0902,no
gaia+nesdc,OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,532,10.2406,0.1151,10.7737,0.0206,no
gaia+nesdc,OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,532,4.5812,0.0183,5.4679,-0.3985,no
gaia+nesdc,OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,532,10.2406,0.1151,10.5758,0.0562,no
gaia+nesdc,OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,532,4.5812,0.0183,4.8767,-0.1125,no
gaia+nesdc,OLS wind + both fractions,leave-one-province-out,unweighted,532,8.445,0.3982,10.3831,0.0903,no
gaia+nesdc,OLS wind + both fractions,leave-one-province-out,by sounding count,532,4.4293,0.0823,7.0268,-1.3096,no
gaia+nesdc,OLS wind + both fractions,spatial blocks,unweighted,532,8.445,0.3982,8.7835,0.349,no
gaia+nesdc,OLS wind + both fractions,spatial blocks,by sounding count,532,4.4293,0.0823,4.7601,-0.0599,no
gaia+nesdc,OLS full covariates + both fractions,leave-one-province-out,unweighted,532,7.5339,0.5211,11.1062,-0.0408,no
gaia+nesdc,OLS full covariates + both fractions,leave-one-province-out,by sounding count,532,4.0941,0.2159,7.2675,-1.4706,no
gaia+nesdc,OLS full covariates + both fractions,spatial blocks,unweighted,532,7.5339,0.5211,8.7284,0.3571,no
gaia+nesdc,OLS full covariates + both fractions,spatial blocks,by sounding count,532,4.0941,0.2159,4.7256,-0.0446,no
gaia+nesdc,OLS wind + trend surface,leave-one-province-out,unweighted,927,8.2705,0.6905,9.1138,0.6241,no
gaia+nesdc,OLS wind + trend surface,leave-one-province-out,by sounding count,927,4.2754,0.6988,5.1358,0.5653,no
gaia+nesdc,OLS wind + trend surface,spatial blocks,unweighted,927,8.2705,0.6905,8.5567,0.6687,no
gaia+nesdc,OLS wind + trend surface,spatial blocks,by sounding count,927,4.2754,0.6988,4.4278,0.6769,no
gaia+nesdc,OLS sampling composition (when observed),leave-one-province-out,unweighted,927,10.8182,0.4704,12.5289,0.2896,no
gaia+nesdc,OLS sampling composition (when observed),leave-one-province-out,by sounding count,927,5.8084,0.444,8.689,-0.2442,no
gaia+nesdc,OLS sampling composition (when observed),spatial blocks,unweighted,927,10.8182,0.4704,10.8566,0.4666,no
gaia+nesdc,OLS sampling composition (when observed),spatial blocks,by sounding count,927,5.8084,0.444,5.8996,0.4264,no
gaia+glorice,constant (global mean),leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
gaia+glorice,constant (global mean),leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gaia+glorice,constant (global mean),spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
gaia+glorice,constant (global mean),spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gaia+glorice,constant (per province),leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gaia+glorice,constant (per province),leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gaia+glorice,constant (per province),spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gaia+glorice,constant (per province),spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gaia+glorice,spatial null (queen neighbour mean),leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gaia+glorice,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gaia+glorice,spatial null (queen neighbour mean),spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gaia+glorice,spatial null (queen neighbour mean),spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gaia+glorice,OLS impervious_fraction,leave-one-province-out,unweighted,927,13.9476,0.1197,15.6737,-0.1117,no
gaia+glorice,OLS impervious_fraction,leave-one-province-out,by sounding count,927,7.6059,0.0467,8.4092,-0.1653,no
gaia+glorice,OLS impervious_fraction,spatial blocks,unweighted,927,13.9476,0.1197,14.2161,0.0854,no
gaia+glorice,OLS impervious_fraction,spatial blocks,by sounding count,927,7.6059,0.0467,7.6883,0.0259,no
gaia+glorice,constant (global mean) [rice sample],leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
