predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gisa+nesdc,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,6.5876,0.2849,6.6908,0.2623,no
gisa+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gisa+nesdc,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gisa+nesdc,"OLS wind (u, v, speed)",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gisa+nesdc,"OLS wind (u, v, speed)",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gisa+nesdc,OLS albedo (SWIR),leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gisa+nesdc,OLS albedo (SWIR),leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gisa+nesdc,OLS albedo (SWIR),spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gisa+nesdc,OLS albedo (SWIR),spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gisa+nesdc,OLS wind + impervious,leave-one-province-out,unweighted,927,8.4916,0.6737,9.09,0.6261,no
gisa+nesdc,OLS wind + impervious,leave-one-province-out,by sounding count,927,4.8527,0.6119,6.446,0.3153,no
gisa+nesdc,OLS wind + impervious,spatial blocks,unweighted,927,8.4916,0.6737,8.688,0.6584,no
gisa+nesdc,OLS wind + impervious,spatial blocks,by sounding count,927,4.8527,0.6119,5.0899,0.5731,no
gisa+nesdc,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,532,8.4542,0.3969,9.4804,0.2416,no
gisa+nesdc,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,532,4.5034,0.0514,6.7762,-1.1478,no
gisa+nesdc,"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,532,8.4542,0.3969,8.7689,0.3512,no
gisa+nesdc,"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,532,4.5034,0.0514,4.8276,-0.0902,no
gisa+nesdc,OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,532,10.2406,0.1151,10.7737,0.0206,no
gisa+nesdc,OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,532,4.5812,0.0183,5.4679,-0.3985,no
gisa+nesdc,OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,532,10.2406,0.1151,10.5758,0.0562,no
gisa+nesdc,OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,532,4.5812,0.0183,4.8767,-0.1125,no
gisa+nesdc,OLS wind + both fractions,leave-one-province-out,unweighted,532,8.4273,0.4007,10.4203,0.0838,no
gisa+nesdc,OLS wind + both fractions,leave-one-province-out,by sounding count,532,4.4428,0.0767,7.2034,-1.4272,no
gisa+nesdc,OLS wind + both fractions,spatial blocks,unweighted,532,8.4273,0.4007,8.7518,0.3537,no
gisa+nesdc,OLS wind + both fractions,spatial blocks,by sounding count,532,4.4428,0.0767,4.8065,-0.0807,no
gisa+nesdc,OLS full covariates + both fractions,leave-one-province-out,unweighted,532,7.5328,0.5212,11.073,-0.0346,no
gisa+nesdc,OLS full covariates + both fractions,leave-one-province-out,by sounding count,532,4.1094,0.2101,7.3518,-1.5283,no
gisa+nesdc,OLS full covariates + both fractions,spatial blocks,unweighted,532,7.5328,0.5212,8.7655,0.3517,no
gisa+nesdc,OLS full covariates + both fractions,spatial blocks,by sounding count,532,4.1094,0.2101,4.8179,-0.0858,no
gisa+nesdc,OLS wind + trend surface,leave-one-province-out,unweighted,927,8.2705,0.6905,9.1138,0.6241,no
gisa+nesdc,OLS wind + trend surface,leave-one-province-out,by sounding count,927,4.2754,0.6988,5.1358,0.5653,no
gisa+nesdc,OLS wind + trend surface,spatial blocks,unweighted,927,8.2705,0.6905,8.5567,0.6687,no
gisa+nesdc,OLS wind + trend surface,spatial blocks,by sounding count,927,4.2754,0.6988,4.4278,0.6769,no
gisa+nesdc,OLS sampling composition (when observed),leave-one-province-out,unweighted,927,10.8182,0.4704,12.5289,0.2896,no
gisa+nesdc,OLS sampling composition (when observed),leave-one-province-out,by sounding count,927,5.8084,0.444,8.689,-0.2442,no
gisa+nesdc,OLS sampling composition (when observed),spatial blocks,unweighted,927,10.8182,0.4704,10.8566,0.4666,no
gisa+nesdc,OLS sampling composition (when observed),spatial blocks,by sounding count,927,5.8084,0.444,5.8996,0.4264,no
gisa+glorice,constant (global mean),leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
gisa+glorice,constant (global mean),leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gisa+glorice,constant (global mean),spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
gisa+glorice,constant (global mean),spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gisa+glorice,constant (per province),leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gisa+glorice,constant (per province),leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gisa+glorice,constant (per province),spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gisa+glorice,constant (per province),spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gisa+glorice,spatial null (queen neighbour mean),leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gisa+glorice,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gisa+glorice,spatial null (queen neighbour mean),spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gisa+glorice,spatial null (queen neighbour mean),spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gisa+glorice,OLS impervious_fraction,leave-one-province-out,unweighted,927,13.8508,0.1318,15.5333,-0.0919,no
gisa+glorice,OLS impervious_fraction,leave-one-province-out,by sounding count,927,7.5386,0.0635,8.2254,-0.115,no
gisa+glorice,OLS impervious_fraction,spatial blocks,unweighted,927,13.8508,0.1318,14.1234,0.0973,no
gisa+glorice,OLS impervious_fraction,spatial blocks,by sounding count,927,7.5386,0.0635,7.6441,0.0371,no
gisa+glorice,constant (global mean) [rice sample],leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
gisa+glorice,constant (global mean) [rice sample],leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gisa+glorice,constant (global mean) [rice sample],spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
gisa+glorice,constant (global mean) [rice sample],spatial blocks,by sounding count,927,7.7898,0.0,7.8017,-0.003,no
gisa+glorice,constant (per province) [rice sample],leave-one-province-out,unweighted,927,13.8694,0.1295,16.0732,-0.1691,no
gisa+glorice,constant (per province) [rice sample],leave-one-province-out,by sounding count,927,7.5029,0.0723,8.1241,-0.0877,no
gisa+glorice,constant (per province) [rice sample],spatial blocks,unweighted,927,13.8694,0.1295,14.1014,0.1001,no
gisa+glorice,constant (per province) [rice sample],spatial blocks,by sounding count,927,7.5029,0.0723,7.562,0.0576,no
gisa+glorice,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,unweighted,927,8.3568,0.684,15.5183,-0.0898,no
gisa+glorice,spatial null (queen neighbour mean) [rice sample],leave-one-province-out,by sounding count,927,2.677,0.8819,7.7975,-0.002,no
gisa+glorice,spatial null (queen neighbour mean) [rice sample],spatial blocks,unweighted,927,8.3568,0.684,12.024,0.3457,no
gisa+glorice,spatial null (queen neighbour mean) [rice sample],spatial blocks,by sounding count,927,2.677,0.8819,5.4553,0.5096,no
gisa+glorice,OLS impervious_fraction [rice sample],leave-one-province-out,unweighted,927,13.8508,0.1318,15.5333,-0.0919,no
gisa+glorice,OLS impervious_fraction [rice sample],leave-one-province-out,by sounding count,927,7.5386,0.0635,8.2254,-0.115,no
gisa+glorice,OLS impervious_fraction [rice sample],spatial blocks,unweighted,927,13.8508,0.1318,14.1234,0.0973,no
gisa+glorice,OLS impervious_fraction [rice sample],spatial blocks,by sounding count,927,7.5386,0.0635,7.6441,0.0371,no
gisa+glorice,OLS rice_fraction_single,leave-one-province-out,unweighted,927,13.6349,0.1587,16.041,-0.1644,no
gisa+glorice,OLS rice_fraction_single,leave-one-province-out,by sounding count,927,7.668,0.031,8.6219,-0.225,no
gisa+glorice,OLS rice_fraction_single,spatial blocks,unweighted,927,13.6349,0.1587,13.7006,0.1505,no
gisa+glorice,OLS rice_fraction_single,spatial blocks,by sounding count,927,7.668,0.031,7.717,0.0186,no
gisa+glorice,OLS rice_fraction_combined,leave-one-province-out,unweighted,927,13.6349,0.1587,16.041,-0.1644,no
gisa+glorice,OLS rice_fraction_combined,leave-one-province-out,by sounding count,927,7.668,0.031,8.6219,-0.225,no
gisa+glorice,OLS rice_fraction_combined,spatial blocks,unweighted,927,13.6349,0.1587,13.7006,0.1505,no
gisa+glorice,OLS rice_fraction_combined,spatial blocks,by sounding count,927,7.668,0.031,7.717,0.0186,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,927,13.0459,0.2298,15.838,-0.1352,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,927,7.3637,0.1064,8.9728,-0.3268,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,927,13.0459,0.2298,13.2775,0.2022,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,927,7.3637,0.1064,7.4929,0.0748,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,unweighted,927,12.1694,0.3298,14.5914,0.0365,yes
gisa+glorice,OLS impervious_fraction + rice_fraction_single + interaction,leave-one-province-out,by sounding count,927,6.929,0.2088,8.3995,-0.1626,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,unweighted,927,12.1694,0.3298,12.5213,0.2905,no
gisa+glorice,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,927,6.929,0.2088,7.1672,0.1535,no
gisa+glorice,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,927,12.7108,0.2689,16.7426,-0.2685,no
gisa+glorice,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,927,6.5876,0.2849,8.0958,-0.0801,no
gisa+glorice,"OLS trend surface (lat, lon)",spatial blocks,unweighted,927,12.7108,0.2689,12.9453,0.2416,no
gisa+glorice,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,6.5876,0.2849,6.6908,0.2623,no
gisa+glorice,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gisa+glorice,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gisa+glorice,"OLS wind (u, v, speed)",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gisa+glorice,"OLS wind (u, v, speed)",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gisa+glorice,OLS albedo (SWIR),leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gisa+glorice,OLS albedo (SWIR),leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gisa+glorice,OLS albedo (SWIR),spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gisa+glorice,OLS albedo (SWIR),spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gisa+glorice,OLS wind + impervious,leave-one-province-out,unweighted,927,8.4916,0.6737,9.09,0.6261,no
gisa+glorice,OLS wind + impervious,leave-one-province-out,by sounding count,927,4.8527,0.6119,6.446,0.3153,no
gisa+glorice,OLS wind + impervious,spatial blocks,unweighted,927,8.4916,0.6737,8.688,0.6584,no
gisa+glorice,OLS wind + impervious,spatial blocks,by sounding count,927,4.8527,0.6119,5.0899,0.5731,no
gisa+glorice,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gisa+glorice,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gisa+glorice,"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gisa+glorice,"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gisa+glorice,OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gisa+glorice,OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gisa+glorice,OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gisa+glorice,OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gisa+glorice,OLS wind + both fractions,leave-one-province-out,unweighted,927,8.4494,0.6769,9.422,0.5983,no
gisa+glorice,OLS wind + both fractions,leave-one-province-out,by sounding count,927,4.8428,0.6135,6.6217,0.2774,no
gisa+glorice,OLS wind + both fractions,spatial blocks,unweighted,927,8.4494,0.6769,8.6873,0.6585,no
gisa+glorice,OLS wind + both fractions,spatial blocks,by sounding count,927,4.8428,0.6135,5.1319,0.566,no
gisa+glorice,OLS full covariates + both fractions,leave-one-province-out,unweighted,927,7.7582,0.7276,9.4879,0.5926,no
gisa+glorice,OLS full covariates + both fractions,leave-one-province-out,by sounding count,927,4.2791,0.6983,6.5792,0.2867,no
gisa+glorice,OLS full covariates + both fractions,spatial blocks,unweighted,927,7.7582,0.7276,8.1239,0.7013,no
gisa+glorice,OLS full covariates + both fractions,spatial blocks,by sounding count,927,4.2791,0.6983,4.6523,0.6433,no
gisa+glorice,OLS wind + trend surface,leave-one-province-out,unweighted,927,8.2705,0.6905,9.1138,0.6241,no
gisa+glorice,OLS wind + trend surface,leave-one-province-out,by sounding count,927,4.2754,0.6988,5.1358,0.5653,no
gisa+glorice,OLS wind + trend surface,spatial blocks,unweighted,927,8.2705,0.6905,8.5567,0.6687,no
gisa+glorice,OLS wind + trend surface,spatial blocks,by sounding count,927,4.2754,0.6988,4.4278,0.6769,no
gisa+glorice,OLS sampling composition (when observed),leave-one-province-out,unweighted,927,10.8182,0.4704,12.5289,0.2896,no
gisa+glorice,OLS sampling composition (when observed),leave-one-province-out,by sounding count,927,5.8084,0.444,8.689,-0.2442,no
gisa+glorice,OLS sampling composition (when observed),spatial blocks,unweighted,927,10.8182,0.4704,10.8566,0.4666,no
gisa+glorice,OLS sampling composition (when observed),spatial blocks,by sounding count,927,5.8084,0.444,5.8996,0.4264,no
