centre_lat,centre_lon,sounding_count,ch4_blended_ppb
33.5750,114.9250,282,1886.97
33.5750,115.1750,319,1885.75
33.5750,115.4250,348,1884.12
33.5750,115.6750,335,1884.06
33.5750,115.9250,341,1885.40
33.5750,116.1750,295,1884.44
33.5750,116.4250,313,1888.42
33.5750,116.6750,304,1890.36
33.5750,116.9250,334,1890.34
33.5750,117.1750,237,1893.92
33.5750,117.4250,394,1887.52
33.5750,117.6750,385,1884.72
33.5750,117.9250,358,1884.08
33.5750,118.1750,317,1882.53
33.5750,118.4250,108,1884.13
33.5750,118.6750,62,1879.64
33.5750,118.9250,170,1878.75
33.5750,119.1750,218,1879.25
33.5750,119.4250,234,1879.72
33.5750,119.6750,217,1881.55
33.5750,119.9250,207,1881.49
33.5750,120.1750,169,1883.72
33.5750,120.4250,74,1887.21
33.5750,120.6750,8,1888.24
33.5750,120.9250,1,1853.50
33.5750,121.1750,11,1833.09
33.5750,121.4250,18,1837.80
33.5750,121.6750,32,1830.30
33.5750,121.9250,56,1838.83
33.5750,122.1750,49,1847.02
33.5750,122.4250,36,1845.87
33.3250,114.9250,306,1884.16
33.3250,115.1750,317,1883.87
33.3250,115.4250,325,1883.81
33.3250,115.6750,339,1883.69
33.3250,115.9250,347,1883.94
33.3250,116.1750,336,1884.22
33.3250,116.4250,372,1887.22
33.3250,116.6750,341,1890.00
33.3250,116.9250,365,1890.37
33.3250,117.1750,357,1888.81
33.3250,117.4250,338,1888.33
33.3250,117.6750,274,1886.52
33.3250,117.9250,150,1886.82
33.3250,118.1750,135,1884.59
33.3250,118.4250,42,1882.24
33.3250,118.6750,0,
33.3250,118.9250,53,1889.12
33.3250,119.1750,78,1881.62
33.3250,119.4250,167,1881.36
33.3250,119.6750,183,1880.91
33.3250,119.9250,182,1880.91
33.3250,120.1750,154,1879.71
33.3250,120.4250,166,1882.41
33.3250,120.6750,21,1892.33
33.3250,120.9250,0,
33.3250,121.1750,0,
33.3250,121.4250,9,1839.04
33.3250,121.6750,28,1831.82
33.3250,121.9250,43,1834.75
33.3250,122.1750,64,1844.82
33.3250,122.4250,43,1840.78
